호선,방향,역사명,급행코드,sched_train,real_train,예정시간,실제시간,지연시간(분)
1,DOWN,가능,0,201,201,2025-06-07 21:05:00,2025-06-07 21:06:00,1.0
1,DOWN,가능,0,203,203,2025-06-07 21:19:30,2025-06-07 21:23:15,3.75
1,DOWN,가능,0,205,205,2025-06-07 21:29:00,2025-06-07 21:29:27,0.45
1,DOWN,가능,0,211,209,2025-06-07 21:55:00,2025-06-07 21:52:50,-2.1666666666666665
1,DOWN,가능,0,213,213,2025-06-07 22:07:00,2025-06-07 22:07:44,0.7333333333333333
1,DOWN,가능,0,215,215,2025-06-07 22:17:30,2025-06-07 22:17:58,0.4666666666666667
1,DOWN,가능,0,819,819,2025-06-07 22:37:00,2025-06-07 22:36:49,-0.18333333333333332
1,DOWN,가능,0,821,821,2025-06-07 22:49:30,2025-06-07 22:49:14,-0.26666666666666666
1,DOWN,가능,0,209,,2025-06-07 21:49:30,,
1,DOWN,가능,0,,211,,2025-06-07 21:57:24,
1,DOWN,가산디지털단지,0,7035,7035,2025-06-07 21:09:30,2025-06-07 21:09:03,-0.45
1,DOWN,가산디지털단지,0,493,713,2025-06-07 21:20:30,2025-06-07 21:18:40,-1.8333333333333333
1,DOWN,가산디지털단지,0,715,715,2025-06-07 21:35:00,2025-06-07 21:37:37,2.6166666666666667
1,DOWN,가산디지털단지,0,495,495,2025-06-07 21:43:30,2025-06-07 21:43:14,-0.26666666666666666
1,DOWN,가산디지털단지,0,717,717,2025-06-07 21:52:00,2025-06-07 21:52:38,0.6333333333333333
1,DOWN,가산디지털단지,0,7037,7037,2025-06-07 21:58:30,2025-06-07 21:58:54,0.4
1,DOWN,가산디지털단지,0,499,499,2025-06-07 22:03:30,2025-06-07 22:04:58,1.4666666666666666
1,DOWN,가산디지털단지,0,501,501,2025-06-07 22:13:30,2025-06-07 22:14:27,0.95
1,DOWN,가산디지털단지,0,719,719,2025-06-07 22:20:00,2025-06-07 22:19:56,-0.06666666666666667
1,DOWN,가산디지털단지,0,503,505,2025-06-07 22:36:00,2025-06-07 22:37:45,1.75
1,DOWN,가산디지털단지,0,7039,7039,2025-06-07 22:40:30,2025-06-07 22:41:33,1.05
1,DOWN,가산디지털단지,0,721,503,2025-06-07 22:45:30,2025-06-07 22:45:18,-0.2
1,DOWN,가산디지털단지,0,507,507,2025-06-07 22:54:30,2025-06-07 22:54:48,0.3
1,DOWN,가산디지털단지,0,491,,2025-06-07 21:05:30,,
1,DOWN,가산디지털단지,0,713,,2025-06-07 21:15:30,,
1,DOWN,가산디지털단지,0,505,,2025-06-07 22:30:30,,
1,DOWN,가산디지털단지,0,,491,,2025-06-07 21:11:29,
1,DOWN,가산디지털단지,0,,493,,2025-06-07 21:22:32,
1,DOWN,가산디지털단지,0,,721,,2025-06-07 22:50:03,
1,DOWN,간석,0,181,179,2025-06-07 21:13:00,2025-06-07 21:14:16,1.2666666666666666
1,DOWN,간석,0,183,181,2025-06-07 21:17:30,2025-06-07 21:19:12,1.7
1,DOWN,간석,0,185,183,2025-06-07 21:27:00,2025-06-07 21:22:48,-4.2
1,DOWN,간석,0,187,187,2025-06-07 21:39:00,2025-06-07 21:44:40,5.666666666666667
1,DOWN,간석,0,189,189,2025-06-07 21:53:00,2025-06-07 21:54:26,1.4333333333333333
1,DOWN,간석,0,191,191,2025-06-07 22:00:30,2025-06-07 22:00:30,0.0
1,DOWN,간석,0,193,193,2025-06-07 22:07:00,2025-06-07 22:08:52,1.8666666666666667
1,DOWN,간석,0,195,195,2025-06-07 22:16:00,2025-06-07 22:16:52,0.8666666666666667
1,DOWN,간석,0,197,197,2025-06-07 22:25:30,2025-06-07 22:28:21,2.85
1,DOWN,간석,0,199,199,2025-06-07 22:37:00,2025-06-07 22:42:20,5.333333333333333
1,DOWN,간석,0,179,,2025-06-07 21:04:00,,
1,DOWN,간석,0,201,,2025-06-07 22:54:00,,
1,DOWN,간석,0,,185,,2025-06-07 21:32:19,
1,DOWN,개봉,0,187,187,2025-06-07 21:10:30,2025-06-07 21:16:14,5.733333333333333
1,DOWN,개봉,0,189,189,2025-06-07 21:24:30,2025-06-07 21:26:37,2.1166666666666667
1,DOWN,개봉,0,191,191,2025-06-07 21:32:00,2025-06-07 21:32:07,0.11666666666666667
1,DOWN,개봉,0,193,193,2025-06-07 21:38:30,2025-06-07 21:41:32,3.033333333333333
1,DOWN,개봉,0,195,195,2025-06-07 21:47:30,2025-06-07 21:49:15,1.75
1,DOWN,개봉,0,197,197,2025-06-07 21:57:00,2025-06-07 21:58:25,1.4166666666666667
1,DOWN,개봉,0,199,199,2025-06-07 22:08:30,2025-06-07 22:08:07,-0.38333333333333336
1,DOWN,개봉,0,203,203,2025-06-07 22:40:30,2025-06-07 22:44:26,3.933333333333333
1,DOWN,개봉,0,205,205,2025-06-07 22:49:30,2025-06-07 22:52:27,2.95
1,DOWN,개봉,0,201,,2025-06-07 22:25:30,,
1,DOWN,개봉,0,207,,2025-06-07 22:59:30,,
1,DOWN,개봉,0,,185,,2025-06-07 21:01:44,
1,DOWN,개봉,0,,201,,2025-06-07 22:35:57,
1,DOWN,개봉,1,1137,1137,2025-06-07 21:13:30,2025-06-07 21:14:05,0.5833333333333334
1,DOWN,개봉,1,1139,1139,2025-06-07 21:33:30,2025-06-07 21:35:21,1.85
1,DOWN,개봉,1,1141,1141,2025-06-07 21:50:30,2025-06-07 21:50:57,0.45
1,DOWN,개봉,1,1143,1143,2025-06-07 22:04:30,2025-06-07 22:05:20,0.8333333333333334
1,DOWN,개봉,1,1145,1145,2025-06-07 22:21:30,2025-06-07 22:25:28,3.966666666666667
1,DOWN,개봉,1,1147,1147,2025-06-07 22:36:30,2025-06-07 22:37:05,0.5833333333333334
1,DOWN,개봉,1,1149,1149,2025-06-07 22:53:30,2025-06-07 22:54:01,0.5166666666666667
1,DOWN,관악,0,711,489,2025-06-07 21:04:00,2025-06-07 21:06:02,2.033333333333333
1,DOWN,관악,0,491,711,2025-06-07 21:16:00,2025-06-07 21:10:51,-5.15
1,DOWN,관악,0,713,491,2025-06-07 21:26:00,2025-06-07 21:25:22,-0.6333333333333333
1,DOWN,관악,0,493,713,2025-06-07 21:31:00,2025-06-07 21:29:42,-1.3
1,DOWN,관악,0,715,715,2025-06-07 21:45:30,2025-06-07 21:48:57,3.45
1,DOWN,관악,0,495,495,2025-06-07 21:54:00,2025-06-07 21:53:38,-0.36666666666666664
1,DOWN,관악,0,717,717,2025-06-07 22:02:30,2025-06-07 22:03:20,0.8333333333333334
1,DOWN,관악,0,499,499,2025-06-07 22:14:00,2025-06-07 22:15:27,1.45
1,DOWN,관악,0,501,501,2025-06-07 22:24:00,2025-06-07 22:24:57,0.95
1,DOWN,관악,0,719,719,2025-06-07 22:30:30,2025-06-07 22:30:22,-0.13333333333333333
1,DOWN,관악,0,503,505,2025-06-07 22:46:30,2025-06-07 22:48:38,2.1333333333333333
1,DOWN,관악,0,721,503,2025-06-07 22:56:00,2025-06-07 22:56:38,0.6333333333333333
1,DOWN,관악,0,505,,2025-06-07 22:41:00,,
1,DOWN,관악,0,,709,,2025-06-07 21:01:02,
1,DOWN,관악,0,,493,,2025-06-07 21:34:03,
1,DOWN,광명,0,7035,,2025-06-07 21:20:00,,
1,DOWN,광명,0,7037,,2025-06-07 22:09:00,,
1,DOWN,광명,0,7039,,2025-06-07 22:51:00,,
1,DOWN,광운대,0,197,197,2025-06-07 21:00:30,2025-06-07 21:00:14,-0.26666666666666666
1,DOWN,광운대,0,199,199,2025-06-07 21:12:00,2025-06-07 21:12:07,0.11666666666666667
1,DOWN,광운대,0,201,505,2025-06-07 21:29:00,2025-06-07 21:23:34,-5.433333333333334
1,DOWN,광운대,0,203,203,2025-06-07 21:44:00,2025-06-07 21:47:32,3.533333333333333
1,DOWN,광운대,0,205,205,2025-06-07 21:53:00,2025-06-07 21:53:17,0.2833333333333333
1,DOWN,광운대,0,207,509,2025-06-07 22:03:00,2025-06-07 22:03:04,0.06666666666666667
1,DOWN,광운대,0,209,511,2025-06-07 22:13:30,2025-06-07 22:14:40,1.1666666666666667
1,DOWN,광운대,0,211,211,2025-06-07 22:19:00,2025-06-07 22:20:51,1.85
1,DOWN,광운대,0,959,959,2025-06-07 22:24:00,2025-06-07 22:24:26,0.43333333333333335
1,DOWN,광운대,0,213,213,2025-06-07 22:31:00,2025-06-07 22:32:15,1.25
1,DOWN,광운대,0,215,215,2025-06-07 22:42:00,2025-06-07 22:41:46,-0.23333333333333334
1,DOWN,광운대,0,217,217,2025-06-07 22:54:30,2025-06-07 22:54:48,0.3
1,DOWN,광운대,0,,501,,2025-06-07 21:10:39,
1,DOWN,광운대,0,,721,,2025-06-07 21:40:03,
1,DOWN,광운대,0,,507,,2025-06-07 21:54:47,
1,DOWN,광운대,0,,207,,2025-06-07 22:03:42,
1,DOWN,광운대,0,,209,,2025-06-07 22:16:01,
1,DOWN,광운대,0,,515,,2025-06-07 22:35:07,
1,DOWN,구로,0,491,815,2025-06-07 21:00:30,2025-06-07 21:00:53,0.38333333333333336
1,DOWN,구로,0,7035,7035,2025-06-07 21:04:30,2025-06-07 21:04:06,-0.4
1,DOWN,구로,0,187,491,2025-06-07 21:05:30,2025-06-07 21:05:43,0.21666666666666667
1,DOWN,구로,0,713,187,2025-06-07 21:10:30,2025-06-07 21:11:56,1.4333333333333333
1,DOWN,구로,0,493,713,2025-06-07 21:15:30,2025-06-07 21:14:41,-0.8166666666666667
1,DOWN,구로,0,189,189,2025-06-07 21:19:30,2025-06-07 21:21:41,2.183333333333333
1,DOWN,구로,0,817,817,2025-06-07 21:24:30,2025-06-07 21:25:17,0.7833333333333333
1,DOWN,구로,0,193,715,2025-06-07 21:33:30,2025-06-07 21:33:06,-0.4
1,DOWN,구로,0,495,495,2025-06-07 21:38:30,2025-06-07 21:38:51,0.35
1,DOWN,구로,0,195,195,2025-06-07 21:42:30,2025-06-07 21:43:51,1.35
1,DOWN,구로,0,717,717,2025-06-07 21:47:00,2025-06-07 21:47:56,0.9333333333333333
1,DOWN,구로,0,7037,197,2025-06-07 21:53:30,2025-06-07 21:52:52,-0.6333333333333333
1,DOWN,구로,0,499,499,2025-06-07 21:58:30,2025-06-07 21:59:30,1.0
1,DOWN,구로,0,199,199,2025-06-07 22:03:30,2025-06-07 22:03:16,-0.23333333333333334
1,DOWN,구로,0,501,501,2025-06-07 22:08:30,2025-06-07 22:10:03,1.55
1,DOWN,구로,0,719,719,2025-06-07 22:15:00,2025-06-07 22:15:17,0.2833333333333333
1,DOWN,구로,0,503,201,2025-06-07 22:31:00,2025-06-07 22:30:14,-0.7666666666666667
1,DOWN,구로,0,203,7039,2025-06-07 22:35:30,2025-06-07 22:35:58,0.4666666666666667
1,DOWN,구로,0,721,203,2025-06-07 22:40:30,2025-06-07 22:39:43,-0.7833333333333333
1,DOWN,구로,0,205,721,2025-06-07 22:44:30,2025-06-07 22:46:17,1.7833333333333334
1,DOWN,구로,0,507,205,2025-06-07 22:49:30,2025-06-07 22:48:14,-1.2666666666666666
1,DOWN,구로,0,207,207,2025-06-07 22:54:30,2025-06-07 22:56:53,2.3833333333333333
1,DOWN,구로,0,715,,2025-06-07 21:30:00,,
1,DOWN,구로,0,197,,2025-06-07 21:52:00,,
1,DOWN,구로,0,201,,2025-06-07 22:20:30,,
1,DOWN,구로,0,505,,2025-06-07 22:25:30,,
1,DOWN,구로,0,7039,,2025-06-07 22:35:30,,
1,DOWN,구로,0,,191,,2025-06-07 21:13:38,
1,DOWN,구로,0,,493,,2025-06-07 21:17:16,
1,DOWN,구로,0,,193,,2025-06-07 21:36:36,
1,DOWN,구로,0,,7037,,2025-06-07 21:55:22,
1,DOWN,구로,0,,505,,2025-06-07 22:33:53,
1,DOWN,구로,0,,503,,2025-06-07 22:36:38,
1,DOWN,구로,0,,507,,2025-06-07 22:51:06,
1,DOWN,구로,1,1137,1137,2025-06-07 21:09:30,2025-06-07 21:09:42,0.2
1,DOWN,구로,1,1139,1139,2025-06-07 21:29:30,2025-06-07 21:29:32,0.03333333333333333
1,DOWN,구로,1,1141,1141,2025-06-07 21:46:30,2025-06-07 21:45:50,-0.6666666666666666
1,DOWN,구로,1,1143,1143,2025-06-07 22:00:30,2025-06-07 22:00:42,0.2
1,DOWN,구로,1,1145,1145,2025-06-07 22:17:30,2025-06-07 22:20:39,3.15
1,DOWN,구로,1,1147,1147,2025-06-07 22:32:30,2025-06-07 22:31:57,-0.55
1,DOWN,구로,1,1149,1149,2025-06-07 22:49:30,2025-06-07 22:49:25,-0.08333333333333333
1,DOWN,구일,0,187,187,2025-06-07 21:08:30,2025-06-07 21:14:25,5.916666666666667
1,DOWN,구일,0,189,189,2025-06-07 21:22:30,2025-06-07 21:24:44,2.2333333333333334
1,DOWN,구일,0,191,191,2025-06-07 21:30:00,2025-06-07 21:30:20,0.3333333333333333
1,DOWN,구일,0,193,193,2025-06-07 21:36:30,2025-06-07 21:38:27,1.95
1,DOWN,구일,0,195,195,2025-06-07 21:45:30,2025-06-07 21:46:53,1.3833333333333333
1,DOWN,구일,0,197,197,2025-06-07 21:55:00,2025-06-07 21:56:11,1.1833333333333333
1,DOWN,구일,0,199,199,2025-06-07 22:06:30,2025-06-07 22:05:01,-1.4833333333333334
1,DOWN,구일,0,203,203,2025-06-07 22:38:30,2025-06-07 22:41:44,3.2333333333333334
1,DOWN,구일,0,205,205,2025-06-07 22:47:30,2025-06-07 22:50:30,3.0
1,DOWN,구일,0,207,207,2025-06-07 22:57:30,2025-06-07 22:59:28,1.9666666666666666
1,DOWN,구일,0,201,,2025-06-07 22:23:30,,
1,DOWN,구일,0,,201,,2025-06-07 22:33:31,
1,DOWN,군포,0,711,489,2025-06-07 21:16:00,2025-06-07 21:16:47,0.7833333333333333
1,DOWN,군포,0,491,711,2025-06-07 21:28:00,2025-06-07 21:22:08,-5.866666666666666
1,DOWN,군포,0,713,491,2025-06-07 21:38:00,2025-06-07 21:36:34,-1.4333333333333333
1,DOWN,군포,0,493,713,2025-06-07 21:43:00,2025-06-07 21:40:46,-2.2333333333333334
1,DOWN,군포,0,715,715,2025-06-07 21:57:30,2025-06-07 21:59:34,2.066666666666667
1,DOWN,군포,0,495,495,2025-06-07 22:06:00,2025-06-07 22:05:01,-0.9833333333333333
1,DOWN,군포,0,717,717,2025-06-07 22:14:30,2025-06-07 22:14:28,-0.03333333333333333
1,DOWN,군포,0,499,499,2025-06-07 22:26:00,2025-06-07 22:25:13,-0.7833333333333333
1,DOWN,군포,0,501,501,2025-06-07 22:36:00,2025-06-07 22:35:04,-0.9333333333333333
1,DOWN,군포,0,719,719,2025-06-07 22:42:30,2025-06-07 22:44:02,1.5333333333333334
1,DOWN,군포,0,503,505,2025-06-07 22:58:30,2025-06-07 22:59:37,1.1166666666666667
1,DOWN,군포,0,489,,2025-06-07 21:01:30,,
1,DOWN,군포,0,505,,2025-06-07 22:53:00,,
1,DOWN,군포,0,,709,,2025-06-07 21:12:20,
1,DOWN,군포,0,,493,,2025-06-07 21:45:29,
1,DOWN,금정,0,711,489,2025-06-07 21:12:30,2025-06-07 21:13:36,1.1
1,DOWN,금정,0,491,711,2025-06-07 21:24:30,2025-06-07 21:19:28,-5.033333333333333
1,DOWN,금정,0,713,491,2025-06-07 21:34:30,2025-06-07 21:33:32,-0.9666666666666667
1,DOWN,금정,0,493,713,2025-06-07 21:39:30,2025-06-07 21:37:45,-1.75
1,DOWN,금정,0,715,715,2025-06-07 21:54:00,2025-06-07 21:57:36,3.6
1,DOWN,금정,0,495,495,2025-06-07 22:02:30,2025-06-07 22:01:28,-1.0333333333333334
1,DOWN,금정,0,717,717,2025-06-07 22:11:00,2025-06-07 22:11:12,0.2
1,DOWN,금정,0,499,499,2025-06-07 22:22:30,2025-06-07 22:23:14,0.7333333333333333
1,DOWN,금정,0,501,501,2025-06-07 22:32:30,2025-06-07 22:33:06,0.6
1,DOWN,금정,0,719,719,2025-06-07 22:39:00,2025-06-07 22:40:04,1.0666666666666667
1,DOWN,금정,0,503,505,2025-06-07 22:55:00,2025-06-07 22:56:36,1.6
1,DOWN,금정,0,505,,2025-06-07 22:49:30,,
1,DOWN,금정,0,,709,,2025-06-07 21:09:04,
1,DOWN,금정,0,,493,,2025-06-07 21:42:25,
1,DOWN,금천구청,0,7035,7035,2025-06-07 21:14:30,2025-06-07 21:14:00,-0.5
1,DOWN,금천구청,0,713,491,2025-06-07 21:20:30,2025-06-07 21:18:46,-1.7333333333333334
1,DOWN,금천구청,0,493,713,2025-06-07 21:25:30,2025-06-07 21:23:46,-1.7333333333333334
1,DOWN,금천구청,0,715,715,2025-06-07 21:40:00,2025-06-07 21:42:35,2.5833333333333335
1,DOWN,금천구청,0,495,495,2025-06-07 21:48:30,2025-06-07 21:47:42,-0.8
1,DOWN,금천구청,0,717,717,2025-06-07 21:57:00,2025-06-07 21:57:38,0.6333333333333333
1,DOWN,금천구청,0,7037,7037,2025-06-07 22:03:30,2025-06-07 22:04:38,1.1333333333333333
1,DOWN,금천구청,0,499,499,2025-06-07 22:08:30,2025-06-07 22:09:39,1.15
1,DOWN,금천구청,0,501,501,2025-06-07 22:18:30,2025-06-07 22:19:06,0.6
1,DOWN,금천구청,0,719,719,2025-06-07 22:25:00,2025-06-07 22:24:41,-0.31666666666666665
1,DOWN,금천구청,0,503,505,2025-06-07 22:41:00,2025-06-07 22:43:00,2.0
1,DOWN,금천구청,0,7039,7039,2025-06-07 22:45:30,2025-06-07 22:46:47,1.2833333333333334
1,DOWN,금천구청,0,721,503,2025-06-07 22:50:30,2025-06-07 22:51:08,0.6333333333333333
1,DOWN,금천구청,0,507,721,2025-06-07 22:59:30,2025-06-07 22:56:07,-3.3833333333333333
1,DOWN,금천구청,0,491,,2025-06-07 21:10:30,,
1,DOWN,금천구청,0,505,,2025-06-07 22:35:30,,
1,DOWN,금천구청,0,,7033,,2025-06-07 21:03:25,
1,DOWN,금천구청,0,,711,,2025-06-07 21:03:41,
1,DOWN,금천구청,0,,493,,2025-06-07 21:27:47,
1,DOWN,남영,0,189,189,2025-06-07 21:02:00,2025-06-07 21:04:35,2.5833333333333335
1,DOWN,남영,0,817,817,2025-06-07 21:07:00,2025-06-07 21:07:55,0.9166666666666666
1,DOWN,남영,0,193,715,2025-06-07 21:16:00,2025-06-07 21:14:31,-1.4833333333333334
1,DOWN,남영,0,495,495,2025-06-07 21:21:00,2025-06-07 21:22:16,1.2666666666666666
1,DOWN,남영,0,717,717,2025-06-07 21:29:30,2025-06-07 21:29:48,0.3
1,DOWN,남영,0,197,197,2025-06-07 21:34:30,2025-06-07 21:35:30,1.0
1,DOWN,남영,0,499,499,2025-06-07 21:41:00,2025-06-07 21:43:18,2.3
1,DOWN,남영,0,501,501,2025-06-07 21:51:00,2025-06-07 21:51:50,0.8333333333333334
1,DOWN,남영,0,719,719,2025-06-07 21:57:30,2025-06-07 21:59:22,1.8666666666666667
1,DOWN,남영,0,503,201,2025-06-07 22:13:30,2025-06-07 22:12:39,-0.85
1,DOWN,남영,0,203,503,2025-06-07 22:18:00,2025-06-07 22:18:33,0.55
1,DOWN,남영,0,721,203,2025-06-07 22:23:00,2025-06-07 22:22:00,-1.0
1,DOWN,남영,0,205,721,2025-06-07 22:27:00,2025-06-07 22:28:31,1.5166666666666666
1,DOWN,남영,0,507,205,2025-06-07 22:32:00,2025-06-07 22:31:37,-0.38333333333333336
1,DOWN,남영,0,207,207,2025-06-07 22:37:00,2025-06-07 22:38:06,1.1
1,DOWN,남영,0,209,509,2025-06-07 22:47:30,2025-06-07 22:46:18,-1.2
1,DOWN,남영,0,211,209,2025-06-07 22:53:00,2025-06-07 22:55:02,2.033333333333333
1,DOWN,남영,0,511,211,2025-06-07 22:59:00,2025-06-07 22:58:49,-0.18333333333333332
1,DOWN,남영,0,715,,2025-06-07 21:12:30,,
1,DOWN,남영,0,195,,2025-06-07 21:25:00,,
1,DOWN,남영,0,199,,2025-06-07 21:46:00,,
1,DOWN,남영,0,201,,2025-06-07 22:03:00,,
1,DOWN,남영,0,505,,2025-06-07 22:08:00,,
1,DOWN,남영,0,509,,2025-06-07 22:44:00,,
1,DOWN,남영,0,,505,,2025-06-07 22:15:46,
1,DOWN,남영,0,,507,,2025-06-07 22:34:43,
1,DOWN,노량진,0,493,713,2025-06-07 21:04:00,2025-06-07 21:02:41,-1.3166666666666667
1,DOWN,노량진,0,189,493,2025-06-07 21:08:00,2025-06-07 21:05:44,-2.2666666666666666
1,DOWN,노량진,0,817,817,2025-06-07 21:13:00,2025-06-07 21:12:55,-0.08333333333333333
1,DOWN,노량진,0,193,715,2025-06-07 21:22:00,2025-06-07 21:20:29,-1.5166666666666666
1,DOWN,노량진,0,495,495,2025-06-07 21:27:00,2025-06-07 21:27:28,0.4666666666666667
1,DOWN,노량진,0,717,717,2025-06-07 21:35:30,2025-06-07 21:36:21,0.85
1,DOWN,노량진,0,197,197,2025-06-07 21:40:30,2025-06-07 21:41:09,0.65
1,DOWN,노량진,0,499,499,2025-06-07 21:47:00,2025-06-07 21:49:00,2.0
1,DOWN,노량진,0,199,199,2025-06-07 21:52:00,2025-06-07 21:52:10,0.16666666666666666
1,DOWN,노량진,0,501,501,2025-06-07 21:57:00,2025-06-07 21:58:33,1.55
1,DOWN,노량진,0,719,719,2025-06-07 22:03:30,2025-06-07 22:04:30,1.0
1,DOWN,노량진,0,503,201,2025-06-07 22:19:30,2025-06-07 22:18:34,-0.9333333333333333
1,DOWN,노량진,0,203,503,2025-06-07 22:24:00,2025-06-07 22:24:40,0.6666666666666666
1,DOWN,노량진,0,721,203,2025-06-07 22:29:00,2025-06-07 22:27:28,-1.5333333333333334
1,DOWN,노량진,0,205,721,2025-06-07 22:33:00,2025-06-07 22:34:06,1.1
1,DOWN,노량진,0,507,205,2025-06-07 22:38:00,2025-06-07 22:37:06,-0.9
1,DOWN,노량진,0,207,207,2025-06-07 22:43:00,2025-06-07 22:43:34,0.5666666666666667
1,DOWN,노량진,0,509,509,2025-06-07 22:50:00,2025-06-07 22:51:36,1.6
1,DOWN,노량진,0,715,,2025-06-07 21:18:30,,
1,DOWN,노량진,0,195,,2025-06-07 21:31:00,,
1,DOWN,노량진,0,201,,2025-06-07 22:09:00,,
1,DOWN,노량진,0,505,,2025-06-07 22:14:00,,
1,DOWN,노량진,0,209,,2025-06-07 22:53:30,,
1,DOWN,노량진,0,211,,2025-06-07 22:59:00,,
1,DOWN,노량진,0,,187,,2025-06-07 21:00:04,
1,DOWN,노량진,0,,189,,2025-06-07 21:10:17,
1,DOWN,노량진,0,,193,,2025-06-07 21:24:12,
1,DOWN,노량진,0,,505,,2025-06-07 22:21:25,
1,DOWN,노량진,0,,507,,2025-06-07 22:40:05,
1,DOWN,노량진,1,1139,1139,2025-06-07 21:18:00,2025-06-07 21:17:39,-0.35
1,DOWN,노량진,1,1141,1141,2025-06-07 21:35:00,2025-06-07 21:35:15,0.25
1,DOWN,노량진,1,1143,1143,2025-06-07 21:49:00,2025-06-07 21:49:50,0.8333333333333334
1,DOWN,노량진,1,1145,1145,2025-06-07 22:06:00,2025-06-07 22:09:16,3.2666666666666666
1,DOWN,노량진,1,1147,1147,2025-06-07 22:21:00,2025-06-07 22:21:37,0.6166666666666667
1,DOWN,노량진,1,1149,1149,2025-06-07 22:38:00,2025-06-07 22:37:43,-0.2833333333333333
1,DOWN,노량진,1,1151,1151,2025-06-07 22:56:00,2025-06-07 22:57:18,1.3
1,DOWN,녹양,0,201,201,2025-06-07 21:03:00,2025-06-07 21:03:42,0.7
1,DOWN,녹양,0,203,203,2025-06-07 21:17:30,2025-06-07 21:20:49,3.316666666666667
1,DOWN,녹양,0,205,205,2025-06-07 21:27:00,2025-06-07 21:26:51,-0.15
1,DOWN,녹양,0,209,209,2025-06-07 21:47:30,2025-06-07 21:50:37,3.1166666666666667
1,DOWN,녹양,0,211,211,2025-06-07 21:53:00,2025-06-07 21:54:51,1.85
1,DOWN,녹양,0,213,213,2025-06-07 22:05:00,2025-06-07 22:05:29,0.48333333333333334
1,DOWN,녹양,0,215,215,2025-06-07 22:15:30,2025-06-07 22:15:21,-0.15
1,DOWN,녹양,0,819,819,2025-06-07 22:35:00,2025-06-07 22:35:08,0.13333333333333333
1,DOWN,녹양,0,821,821,2025-06-07 22:47:30,2025-06-07 22:46:51,-0.65
1,DOWN,녹천,0,199,199,2025-06-07 21:07:30,2025-06-07 21:07:22,-0.13333333333333333
1,DOWN,녹천,0,201,201,2025-06-07 21:24:30,2025-06-07 21:28:04,3.566666666666667
1,DOWN,녹천,0,203,203,2025-06-07 21:39:00,2025-06-07 21:42:59,3.9833333333333334
1,DOWN,녹천,0,205,205,2025-06-07 21:48:30,2025-06-07 21:48:50,0.3333333333333333
1,DOWN,녹천,0,207,207,2025-06-07 21:58:30,2025-06-07 21:59:22,0.8666666666666667
1,DOWN,녹천,0,209,209,2025-06-07 22:09:00,2025-06-07 22:11:49,2.816666666666667
1,DOWN,녹천,0,211,211,2025-06-07 22:14:30,2025-06-07 22:16:40,2.1666666666666665
1,DOWN,녹천,0,959,959,2025-06-07 22:19:30,2025-06-07 22:19:50,0.3333333333333333
1,DOWN,녹천,0,213,213,2025-06-07 22:26:30,2025-06-07 22:26:53,0.38333333333333336
1,DOWN,녹천,0,215,215,2025-06-07 22:37:00,2025-06-07 22:37:23,0.38333333333333336
1,DOWN,녹천,0,217,217,2025-06-07 22:49:30,2025-06-07 22:50:15,0.75
1,DOWN,녹천,0,819,819,2025-06-07 22:56:30,2025-06-07 22:56:26,-0.06666666666666667
1,DOWN,당정,0,711,489,2025-06-07 21:18:00,2025-06-07 21:18:30,0.5
1,DOWN,당정,0,491,711,2025-06-07 21:30:00,2025-06-07 21:25:23,-4.616666666666666
1,DOWN,당정,0,713,491,2025-06-07 21:40:00,2025-06-07 21:38:42,-1.3
1,DOWN,당정,0,493,713,2025-06-07 21:45:00,2025-06-07 21:42:50,-2.1666666666666665
1,DOWN,당정,0,715,715,2025-06-07 21:59:30,2025-06-07 22:03:07,3.6166666666666667
1,DOWN,당정,0,495,495,2025-06-07 22:08:00,2025-06-07 22:07:37,-0.38333333333333336
1,DOWN,당정,0,717,717,2025-06-07 22:16:30,2025-06-07 22:16:42,0.2
1,DOWN,당정,0,499,499,2025-06-07 22:28:00,2025-06-07 22:28:58,0.9666666666666667
1,DOWN,당정,0,501,501,2025-06-07 22:38:00,2025-06-07 22:38:37,0.6166666666666667
1,DOWN,당정,0,719,719,2025-06-07 22:44:30,2025-06-07 22:46:43,2.216666666666667
1,DOWN,당정,0,489,,2025-06-07 21:03:30,,
1,DOWN,당정,0,505,,2025-06-07 22:55:00,,
1,DOWN,당정,0,,709,,2025-06-07 21:14:41,
1,DOWN,당정,0,,493,,2025-06-07 21:47:49,
1,DOWN,대방,0,713,187,2025-06-07 21:01:30,2025-06-07 21:02:30,1.0
1,DOWN,대방,0,493,713,2025-06-07 21:06:30,2025-06-07 21:05:07,-1.3833333333333333
1,DOWN,대방,0,189,189,2025-06-07 21:10:30,2025-06-07 21:12:41,2.183333333333333
1,DOWN,대방,0,817,817,2025-06-07 21:15:30,2025-06-07 21:15:42,0.2
1,DOWN,대방,0,715,715,2025-06-07 21:21:00,2025-06-07 21:22:27,1.45
1,DOWN,대방,0,495,495,2025-06-07 21:29:30,2025-06-07 21:29:45,0.25
1,DOWN,대방,0,195,195,2025-06-07 21:33:30,2025-06-07 21:34:46,1.2666666666666666
1,DOWN,대방,0,717,717,2025-06-07 21:38:00,2025-06-07 21:38:51,0.85
1,DOWN,대방,0,197,197,2025-06-07 21:43:00,2025-06-07 21:43:33,0.55
1,DOWN,대방,0,499,499,2025-06-07 21:49:30,2025-06-07 21:51:17,1.7833333333333334
