rowNum,selectedCount,totalCount,subwayId,updnLine,trainLineNm,statnFid,statnTid,statnId,statnNm,trnsitCo,ordkey,subwayList,statnList,btrainSttus,barvlDt,btrainNo,bstatnId,bstatnNm,recptnDt,arvlMsg2,arvlMsg3,arvlCd,lstcarAt
1,12,12,1004,상행,불암산행 - 범계방면,1004000444,1004000442,1004000443,금정,2,01000불암산0,"1001,1004","1001080149,1004000443",일반,0,4332,1004000409,불암산,2025-05-21 20:52:08,금정 도착,금정,1,0
2,12,12,1001,상행,광운대행 - 명학방면,1001080150,1001080148,1001080149,금정,2,01004광운대0,"1001,1004","1001080149,1004000443",일반,0,0496,1001000119,광운대,2025-05-21 20:53:33,[4]번째 전역 (성균관대),성균관대,99,0
3,12,12,1001,상행,청량리행 - 명학방면 (급행),1001080150,1001080148,1001080149,금정,2,01008청량리1,"1001,1004","1001080149,1004000443",급행,0,1946,1001000124,청량리,2025-05-21 20:49:47,[8]번째 전역 (병점),병점,99,0
4,12,12,1004,상행,불암산행 - 범계방면,1004000444,1004000442,1004000443,금정,2,02001불암산0,"1001,1004","1001080149,1004000443",일반,0,4690,1004000409,불암산,2025-05-21 20:52:08,전역 도착,산본,5,0
5,12,12,1001,상행,광운대행 - 명학방면,1001080150,1001080148,1001080149,금정,2,02005광운대0,"1001,1004","1001080149,1004000443",일반,0,0694,1001000119,광운대,2025-05-21 20:53:33,[5]번째 전역 (화서),화서,99,0
6,12,12,1001,상행,청량리행 - 명학방면 (급행),1001080150,1001080148,1001080149,금정,2,02017청량리1,"1001,1004","1001080149,1004000443",급행,0,1948,1001000124,청량리,2025-05-21 20:49:47,[17]번째 전역 (성환),성환,99,0
7,12,12,1001,하행,천안행 - 군포방면,1001080148,1001080150,1001080149,금정,2,11000천안0,"1001,1004","1001080149,1004000443",일반,0,0693,1001080169,천안,2025-05-21 20:54:17,금정 도착,금정,1,0
8,12,12,1004,하행,오이도행 - 산본방면 (급행),1004000442,1004000444,1004000443,금정,2,11002오이도1,"1001,1004","1001080149,1004000443",급행,0,4487,1004000456,오이도,2025-05-21 20:54:51,[2]번째 전역 (평촌),평촌,99,0
9,12,12,1004,하행,오이도행 - 산본방면,1004000442,1004000444,1004000443,금정,2,11005오이도0,"1001,1004","1001080149,1004000443",일반,0,4689,1004000456,오이도,2025-05-21 20:54:47,[5]번째 전역 (과천),과천,99,0
10,12,12,1001,하행,신창행 - 군포방면 (급행),1001080148,1001080150,1001080149,금정,2,11007신창1,"1001,1004","1001080149,1004000443",급행,0,1951,1001080176,신창,2025-05-21 20:47:22,[7]번째 전역 (가산디지털단지),가산디지털단지,99,0
11,12,12,1001,하행,서동탄행 - 군포방면,1001080148,1001080150,1001080149,금정,2,12002서동탄0,"1001,1004","1001080149,1004000443",일반,0,0495,1001801571,서동탄,2025-05-21 20:54:17,[2]번째 전역 (안양),안양,99,0
12,12,12,1004,하행,오이도행 - 산본방면,1004000442,1004000444,1004000443,금정,2,12009오이도0,"1001,1004","1001080149,1004000443",일반,0,4691,1004000456,오이도,2025-05-21 20:54:47,[9]번째 전역 (남태령),남태령,99,0
1,12,12,1004,상행,불암산행 - 범계방면,1004000444,1004000442,1004000443,금정,2,01000불암산0,"1001,1004","1001080149,1004000443",일반,0,4332,1004000409,불암산,2025-05-21 20:52:08,금정 도착,금정,1,0
2,12,12,1001,상행,광운대행 - 명학방면,1001080150,1001080148,1001080149,금정,2,01004광운대0,"1001,1004","1001080149,1004000443",일반,0,0496,1001000119,광운대,2025-05-21 20:53:33,[4]번째 전역 (성균관대),성균관대,99,0
3,12,12,1001,상행,청량리행 - 명학방면 (급행),1001080150,1001080148,1001080149,금정,2,01008청량리1,"1001,1004","1001080149,1004000443",급행,0,1946,1001000124,청량리,2025-05-21 20:49:47,[8]번째 전역 (병점),병점,99,0
4,12,12,1004,상행,불암산행 - 범계방면,1004000444,1004000442,1004000443,금정,2,02001불암산0,"1001,1004","1001080149,1004000443",일반,0,4690,1004000409,불암산,2025-05-21 20:52:08,전역 도착,산본,5,0
5,12,12,1001,상행,광운대행 - 명학방면,1001080150,1001080148,1001080149,금정,2,02005광운대0,"1001,1004","1001080149,1004000443",일반,0,0694,1001000119,광운대,2025-05-21 20:53:33,[5]번째 전역 (화서),화서,99,0
6,12,12,1001,상행,청량리행 - 명학방면 (급행),1001080150,1001080148,1001080149,금정,2,02017청량리1,"1001,1004","1001080149,1004000443",급행,0,1948,1001000124,청량리,2025-05-21 20:49:47,[17]번째 전역 (성환),성환,99,0
7,12,12,1001,하행,천안행 - 군포방면,1001080148,1001080150,1001080149,금정,2,11000천안0,"1001,1004","1001080149,1004000443",일반,0,0693,1001080169,천안,2025-05-21 20:54:17,금정 도착,금정,1,0
8,12,12,1004,하행,오이도행 - 산본방면 (급행),1004000442,1004000444,1004000443,금정,2,11002오이도1,"1001,1004","1001080149,1004000443",급행,0,4487,1004000456,오이도,2025-05-21 20:54:51,[2]번째 전역 (평촌),평촌,99,0
9,12,12,1004,하행,오이도행 - 산본방면,1004000442,1004000444,1004000443,금정,2,11005오이도0,"1001,1004","1001080149,1004000443",일반,0,4689,1004000456,오이도,2025-05-21 20:54:47,[5]번째 전역 (과천),과천,99,0
10,12,12,1001,하행,신창행 - 군포방면 (급행),1001080148,1001080150,1001080149,금정,2,11007신창1,"1001,1004","1001080149,1004000443",급행,0,1951,1001080176,신창,2025-05-21 20:47:22,[7]번째 전역 (가산디지털단지),가산디지털단지,99,0
11,12,12,1001,하행,서동탄행 - 군포방면,1001080148,1001080150,1001080149,금정,2,12002서동탄0,"1001,1004","1001080149,1004000443",일반,0,0495,1001801571,서동탄,2025-05-21 20:54:17,[2]번째 전역 (안양),안양,99,0
12,12,12,1004,하행,오이도행 - 산본방면,1004000442,1004000444,1004000443,금정,2,12009오이도0,"1001,1004","1001080149,1004000443",일반,0,4691,1004000456,오이도,2025-05-21 20:54:47,[9]번째 전역 (남태령),남태령,99,0
1,12,12,1004,상행,불암산행 - 범계방면,1004000444,1004000442,1004000443,금정,2,01001불암산0,"1001,1004","1001080149,1004000443",일반,0,4690,1004000409,불암산,2025-05-21 20:52:13,전역 도착,산본,5,0
2,12,12,1001,상행,광운대행 - 명학방면,1001080150,1001080148,1001080149,금정,2,01004광운대0,"1001,1004","1001080149,1004000443",일반,0,0496,1001000119,광운대,2025-05-21 20:53:33,[4]번째 전역 (성균관대),성균관대,99,0
3,12,12,1001,상행,청량리행 - 명학방면 (급행),1001080150,1001080148,1001080149,금정,2,01008청량리1,"1001,1004","1001080149,1004000443",급행,0,1946,1001000124,청량리,2025-05-21 20:49:47,[8]번째 전역 (병점),병점,99,0
4,12,12,1004,상행,불암산행 - 범계방면,1004000444,1004000442,1004000443,금정,2,02004불암산0,"1001,1004","1001080149,1004000443",일반,0,4692,1004000409,불암산,2025-05-21 20:52:13,[4]번째 전역 (반월),반월,99,0
5,12,12,1001,상행,광운대행 - 명학방면,1001080150,1001080148,1001080149,금정,2,02005광운대0,"1001,1004","1001080149,1004000443",일반,0,0694,1001000119,광운대,2025-05-21 20:53:33,[5]번째 전역 (화서),화서,99,0
6,12,12,1001,상행,청량리행 - 명학방면 (급행),1001080150,1001080148,1001080149,금정,2,02017청량리1,"1001,1004","1001080149,1004000443",급행,0,1948,1001000124,청량리,2025-05-21 20:49:47,[17]번째 전역 (성환),성환,99,0
7,12,12,1001,하행,천안행 - 군포방면,1001080148,1001080150,1001080149,금정,2,11000천안0,"1001,1004","1001080149,1004000443",일반,0,0693,1001080169,천안,2025-05-21 20:54:17,금정 도착,금정,1,0
8,12,12,1004,하행,오이도행 - 산본방면 (급행),1004000442,1004000444,1004000443,금정,2,11002오이도1,"1001,1004","1001080149,1004000443",급행,0,4487,1004000456,오이도,2025-05-21 20:54:51,[2]번째 전역 (평촌),평촌,99,0
9,12,12,1004,하행,오이도행 - 산본방면,1004000442,1004000444,1004000443,금정,2,11005오이도0,"1001,1004","1001080149,1004000443",일반,0,4689,1004000456,오이도,2025-05-21 20:54:47,[5]번째 전역 (과천),과천,99,0
10,12,12,1001,하행,신창행 - 군포방면 (급행),1001080148,1001080150,1001080149,금정,2,11007신창1,"1001,1004","1001080149,1004000443",급행,0,1951,1001080176,신창,2025-05-21 20:47:22,[7]번째 전역 (가산디지털단지),가산디지털단지,99,0
11,12,12,1001,하행,서동탄행 - 군포방면,1001080148,1001080150,1001080149,금정,2,12001서동탄0,"1001,1004","1001080149,1004000443",일반,0,0495,1001801571,서동탄,2025-05-21 20:54:17,전역 진입,명학,4,0
12,12,12,1004,하행,오이도행 - 산본방면,1004000442,1004000444,1004000443,금정,2,12009오이도0,"1001,1004","1001080149,1004000443",일반,0,4691,1004000456,오이도,2025-05-21 20:54:47,[9]번째 전역 (남태령),남태령,99,0
1,12,12,1004,상행,불암산행 - 범계방면,1004000444,1004000442,1004000443,금정,2,01001불암산0,"1001,1004","1001080149,1004000443",일반,0,4690,1004000409,불암산,2025-05-21 20:52:13,전역 도착,산본,5,0
2,12,12,1001,상행,광운대행 - 명학방면,1001080150,1001080148,1001080149,금정,2,01004광운대0,"1001,1004","1001080149,1004000443",일반,0,0496,1001000119,광운대,2025-05-21 20:53:33,[4]번째 전역 (성균관대),성균관대,99,0
3,12,12,1001,상행,청량리행 - 명학방면 (급행),1001080150,1001080148,1001080149,금정,2,01008청량리1,"1001,1004","1001080149,1004000443",급행,0,1946,1001000124,청량리,2025-05-21 20:49:47,[8]번째 전역 (병점),병점,99,0
4,12,12,1004,상행,불암산행 - 범계방면,1004000444,1004000442,1004000443,금정,2,02004불암산0,"1001,1004","1001080149,1004000443",일반,0,4692,1004000409,불암산,2025-05-21 20:52:13,[4]번째 전역 (반월),반월,99,0
5,12,12,1001,상행,광운대행 - 명학방면,1001080150,1001080148,1001080149,금정,2,02005광운대0,"1001,1004","1001080149,1004000443",일반,0,0694,1001000119,광운대,2025-05-21 20:53:33,[5]번째 전역 (화서),화서,99,0
6,12,12,1001,상행,청량리행 - 명학방면 (급행),1001080150,1001080148,1001080149,금정,2,02017청량리1,"1001,1004","1001080149,1004000443",급행,0,1948,1001000124,청량리,2025-05-21 20:49:47,[17]번째 전역 (성환),성환,99,0
7,12,12,1001,하행,천안행 - 군포방면,1001080148,1001080150,1001080149,금정,2,11000천안0,"1001,1004","1001080149,1004000443",일반,0,0693,1001080169,천안,2025-05-21 20:54:17,금정 도착,금정,1,0
8,12,12,1004,하행,오이도행 - 산본방면 (급행),1004000442,1004000444,1004000443,금정,2,11002오이도1,"1001,1004","1001080149,1004000443",급행,0,4487,1004000456,오이도,2025-05-21 20:54:51,[2]번째 전역 (평촌),평촌,99,0
9,12,12,1004,하행,오이도행 - 산본방면,1004000442,1004000444,1004000443,금정,2,11005오이도0,"1001,1004","1001080149,1004000443",일반,0,4689,1004000456,오이도,2025-05-21 20:54:47,[5]번째 전역 (과천),과천,99,0
10,12,12,1001,하행,신창행 - 군포방면 (급행),1001080148,1001080150,1001080149,금정,2,11007신창1,"1001,1004","1001080149,1004000443",급행,0,1951,1001080176,신창,2025-05-21 20:47:22,[7]번째 전역 (가산디지털단지),가산디지털단지,99,0
11,12,12,1001,하행,서동탄행 - 군포방면,1001080148,1001080150,1001080149,금정,2,12001서동탄0,"1001,1004","1001080149,1004000443",일반,0,0495,1001801571,서동탄,2025-05-21 20:54:17,전역 진입,명학,4,0
12,12,12,1004,하행,오이도행 - 산본방면,1004000442,1004000444,1004000443,금정,2,12009오이도0,"1001,1004","1001080149,1004000443",일반,0,4691,1004000456,오이도,2025-05-21 20:54:47,[9]번째 전역 (남태령),남태령,99,0
1,12,12,1004,상행,불암산행 - 범계방면,1004000444,1004000442,1004000443,금정,2,01001불암산0,"1001,1004","1001080149,1004000443",일반,0,4690,1004000409,불암산,2025-05-21 20:52:13,전역 도착,산본,5,0
2,12,12,1001,상행,광운대행 - 명학방면,1001080150,1001080148,1001080149,금정,2,01004광운대0,"1001,1004","1001080149,1004000443",일반,0,0496,1001000119,광운대,2025-05-21 20:53:33,[4]번째 전역 (성균관대),성균관대,99,0
3,12,12,1001,상행,청량리행 - 명학방면 (급행),1001080150,1001080148,1001080149,금정,2,01008청량리1,"1001,1004","1001080149,1004000443",급행,0,1946,1001000124,청량리,2025-05-21 20:49:47,[8]번째 전역 (병점),병점,99,0
4,12,12,1004,상행,불암산행 - 범계방면,1004000444,1004000442,1004000443,금정,2,02004불암산0,"1001,1004","1001080149,1004000443",일반,0,4692,1004000409,불암산,2025-05-21 20:52:13,[4]번째 전역 (반월),반월,99,0
5,12,12,1001,상행,광운대행 - 명학방면,1001080150,1001080148,1001080149,금정,2,02005광운대0,"1001,1004","1001080149,1004000443",일반,0,0694,1001000119,광운대,2025-05-21 20:53:33,[5]번째 전역 (화서),화서,99,0
6,12,12,1001,상행,청량리행 - 명학방면 (급행),1001080150,1001080148,1001080149,금정,2,02017청량리1,"1001,1004","1001080149,1004000443",급행,0,1948,1001000124,청량리,2025-05-21 20:49:47,[17]번째 전역 (성환),성환,99,0
7,12,12,1001,하행,천안행 - 군포방면,1001080148,1001080150,1001080149,금정,2,11000천안0,"1001,1004","1001080149,1004000443",일반,0,0693,1001080169,천안,2025-05-21 20:54:17,금정 도착,금정,1,0
8,12,12,1004,하행,오이도행 - 산본방면 (급행),1004000442,1004000444,1004000443,금정,2,11002오이도1,"1001,1004","1001080149,1004000443",급행,0,4487,1004000456,오이도,2025-05-21 20:54:51,[2]번째 전역 (평촌),평촌,99,0
9,12,12,1004,하행,오이도행 - 산본방면,1004000442,1004000444,1004000443,금정,2,11005오이도0,"1001,1004","1001080149,1004000443",일반,0,4689,1004000456,오이도,2025-05-21 20:54:47,[5]번째 전역 (과천),과천,99,0
10,12,12,1001,하행,신창행 - 군포방면 (급행),1001080148,1001080150,1001080149,금정,2,11007신창1,"1001,1004","1001080149,1004000443",급행,0,1951,1001080176,신창,2025-05-21 20:47:22,[7]번째 전역 (가산디지털단지),가산디지털단지,99,0
11,12,12,1001,하행,서동탄행 - 군포방면,1001080148,1001080150,1001080149,금정,2,12001서동탄0,"1001,1004","1001080149,1004000443",일반,0,0495,1001801571,서동탄,2025-05-21 20:54:17,전역 진입,명학,4,0
12,12,12,1004,하행,오이도행 - 산본방면,1004000442,1004000444,1004000443,금정,2,12009오이도0,"1001,1004","1001080149,1004000443",일반,0,4691,1004000456,오이도,2025-05-21 20:54:47,[9]번째 전역 (남태령),남태령,99,0
1,12,12,1004,상행,불암산행 - 범계방면,1004000444,1004000442,1004000443,금정,2,01000불암산0,"1001,1004","1001080149,1004000443",일반,0,4690,1004000409,불암산,2025-05-21 20:56:11,금정 진입,금정,0,0
2,12,12,1001,상행,광운대행 - 명학방면,1001080150,1001080148,1001080149,금정,2,01004광운대0,"1001,1004","1001080149,1004000443",일반,0,0496,1001000119,광운대,2025-05-21 20:53:33,[4]번째 전역 (성균관대),성균관대,99,0
3,12,12,1001,상행,청량리행 - 명학방면 (급행),1001080150,1001080148,1001080149,금정,2,01008청량리1,"1001,1004","1001080149,1004000443",급행,0,1946,1001000124,청량리,2025-05-21 20:49:47,[8]번째 전역 (병점),병점,99,0
4,12,12,1004,상행,불암산행 - 범계방면,1004000444,1004000442,1004000443,금정,2,02004불암산0,"1001,1004","1001080149,1004000443",일반,0,4692,1004000409,불암산,2025-05-21 20:56:11,[4]번째 전역 (반월),반월,99,0
5,12,12,1001,상행,광운대행 - 명학방면,1001080150,1001080148,1001080149,금정,2,02005광운대0,"1001,1004","1001080149,1004000443",일반,0,0694,1001000119,광운대,2025-05-21 20:53:33,[5]번째 전역 (화서),화서,99,0
6,12,12,1001,상행,청량리행 - 명학방면 (급행),1001080150,1001080148,1001080149,금정,2,02017청량리1,"1001,1004","1001080149,1004000443",급행,0,1948,1001000124,청량리,2025-05-21 20:49:47,[17]번째 전역 (성환),성환,99,0
7,12,12,1001,하행,천안행 - 군포방면,1001080148,1001080150,1001080149,금정,2,11000천안0,"1001,1004","1001080149,1004000443",일반,0,0693,1001080169,천안,2025-05-21 20:54:17,금정 진입,금정,0,0
8,12,12,1004,하행,오이도행 - 산본방면 (급행),1004000442,1004000444,1004000443,금정,2,11002오이도1,"1001,1004","1001080149,1004000443",급행,0,4487,1004000456,오이도,2025-05-21 20:54:51,[2]번째 전역 (평촌),평촌,99,0
9,12,12,1004,하행,오이도행 - 산본방면,1004000442,1004000444,1004000443,금정,2,11005오이도0,"1001,1004","1001080149,1004000443",일반,0,4689,1004000456,오이도,2025-05-21 20:54:47,[5]번째 전역 (과천),과천,99,0
10,12,12,1001,하행,신창행 - 군포방면 (급행),1001080148,1001080150,1001080149,금정,2,11007신창1,"1001,1004","1001080149,1004000443",급행,0,1951,1001080176,신창,2025-05-21 20:47:22,[7]번째 전역 (가산디지털단지),가산디지털단지,99,0
11,12,12,1001,하행,서동탄행 - 군포방면,1001080148,1001080150,1001080149,금정,2,12001서동탄0,"1001,1004","1001080149,1004000443",일반,0,0495,1001801571,서동탄,2025-05-21 20:54:17,전역 진입,명학,4,0
12,12,12,1004,하행,오이도행 - 산본방면,1004000442,1004000444,1004000443,금정,2,12009오이도0,"1001,1004","1001080149,1004000443",일반,0,4691,1004000456,오이도,2025-05-21 20:54:47,[9]번째 전역 (남태령),남태령,99,0
1,12,12,1004,상행,불암산행 - 범계방면,1004000444,1004000442,1004000443,금정,2,01000불암산0,"1001,1004","1001080149,1004000443",일반,0,4690,1004000409,불암산,2025-05-21 20:56:11,금정 도착,금정,1,0
2,12,12,1001,상행,광운대행 - 명학방면,1001080150,1001080148,1001080149,금정,2,01004광운대0,"1001,1004","1001080149,1004000443",일반,0,0496,1001000119,광운대,2025-05-21 20:53:33,[4]번째 전역 (성균관대),성균관대,99,0
3,12,12,1001,상행,청량리행 - 명학방면 (급행),1001080150,1001080148,1001080149,금정,2,01008청량리1,"1001,1004","1001080149,1004000443",급행,0,1946,1001000124,청량리,2025-05-21 20:49:47,[8]번째 전역 (병점),병점,99,0
4,12,12,1004,상행,불암산행 - 범계방면,1004000444,1004000442,1004000443,금정,2,02004불암산0,"1001,1004","1001080149,1004000443",일반,0,4692,1004000409,불암산,2025-05-21 20:56:11,[4]번째 전역 (반월),반월,99,0
5,12,12,1001,상행,광운대행 - 명학방면,1001080150,1001080148,1001080149,금정,2,02005광운대0,"1001,1004","1001080149,1004000443",일반,0,0694,1001000119,광운대,2025-05-21 20:53:33,[5]번째 전역 (화서),화서,99,0
6,12,12,1001,상행,청량리행 - 명학방면 (급행),1001080150,1001080148,1001080149,금정,2,02017청량리1,"1001,1004","1001080149,1004000443",급행,0,1948,1001000124,청량리,2025-05-21 20:49:47,[17]번째 전역 (성환),성환,99,0
7,12,12,1001,하행,서동탄행 - 군포방면,1001080148,1001080150,1001080149,금정,2,11001서동탄0,"1001,1004","1001080149,1004000443",일반,0,0495,1001801571,서동탄,2025-05-21 20:56:20,전역 도착,명학,5,0
8,12,12,1004,하행,오이도행 - 산본방면 (급행),1004000442,1004000444,1004000443,금정,2,11002오이도1,"1001,1004","1001080149,1004000443",급행,0,4487,1004000456,오이도,2025-05-21 20:54:51,[2]번째 전역 (평촌),평촌,99,0
9,12,12,1004,하행,오이도행 - 산본방면,1004000442,1004000444,1004000443,금정,2,11004오이도0,"1001,1004","1001080149,1004000443",일반,0,4689,1004000456,오이도,2025-05-21 20:56:15,[4]번째 전역 (정부과천청사),정부과천청사,99,0
10,12,12,1001,하행,신창행 - 군포방면 (급행),1001080148,1001080150,1001080149,금정,2,11007신창1,"1001,1004","1001080149,1004000443",급행,0,1951,1001080176,신창,2025-05-21 20:47:22,[7]번째 전역 (가산디지털단지),가산디지털단지,99,0
11,12,12,1001,하행,광명행 - 군포방면,1001080148,1001080150,1001080149,금정,2,12005광명0,"1001,1004","1001080149,1004000443",일반,0,7033,1001075410,광명,2025-05-21 20:56:20,[5]번째 전역 (금천구청),금천구청,99,0
12,12,12,1004,하행,오이도행 - 산본방면,1004000442,1004000444,1004000443,금정,2,12009오이도0,"1001,1004","1001080149,1004000443",일반,0,4691,1004000456,오이도,2025-05-21 20:56:15,[9]번째 전역 (남태령),남태령,99,0
1,12,12,1004,상행,불암산행 - 범계방면,1004000444,1004000442,1004000443,금정,2,01000불암산0,"1001,1004","1001080149,1004000443",일반,0,4690,1004000409,불암산,2025-05-21 20:56:28,금정 도착,금정,1,0
2,12,12,1001,상행,광운대행 - 명학방면,1001080150,1001080148,1001080149,금정,2,01003광운대0,"1001,1004","1001080149,1004000443",일반,0,0496,1001000119,광운대,2025-05-21 20:56:35,[3]번째 전역 (의왕),의왕,99,0
3,12,12,1001,상행,청량리행 - 명학방면 (급행),1001080150,1001080148,1001080149,금정,2,01008청량리1,"1001,1004","1001080149,1004000443",급행,0,1946,1001000124,청량리,2025-05-21 20:49:47,[8]번째 전역 (병점),병점,99,0
4,12,12,1004,상행,불암산행 - 범계방면,1004000444,1004000442,1004000443,금정,2,02003불암산0,"1001,1004","1001080149,1004000443",일반,0,4692,1004000409,불암산,2025-05-21 20:56:28,[3]번째 전역 (대야미),대야미,99,0
5,12,12,1001,상행,광운대행 - 명학방면,1001080150,1001080148,1001080149,금정,2,02005광운대0,"1001,1004","1001080149,1004000443",일반,0,0694,1001000119,광운대,2025-05-21 20:56:35,[5]번째 전역 (화서),화서,99,0
6,12,12,1001,상행,청량리행 - 명학방면 (급행),1001080150,1001080148,1001080149,금정,2,02017청량리1,"1001,1004","1001080149,1004000443",급행,0,1948,1001000124,청량리,2025-05-21 20:49:47,[17]번째 전역 (성환),성환,99,0
7,12,12,1001,하행,서동탄행 - 군포방면,1001080148,1001080150,1001080149,금정,2,11001서동탄0,"1001,1004","1001080149,1004000443",일반,0,0495,1001801571,서동탄,2025-05-21 20:56:20,전역 도착,명학,5,0
8,12,12,1001,하행,신창행 - 군포방면 (급행),1001080148,1001080150,1001080149,금정,2,11002신창1,"1001,1004","1001080149,1004000443",급행,0,1951,1001080176,신창,2025-05-21 20:56:28,[2]번째 전역 (안양),안양,99,0
9,12,12,1004,하행,오이도행 - 산본방면 (급행),1004000442,1004000444,1004000443,금정,2,11002오이도1,"1001,1004","1001080149,1004000443",급행,0,4487,1004000456,오이도,2025-05-21 20:54:51,[2]번째 전역 (평촌),평촌,99,0
10,12,12,1004,하행,오이도행 - 산본방면,1004000442,1004000444,1004000443,금정,2,11004오이도0,"1001,1004","1001080149,1004000443",일반,0,4689,1004000456,오이도,2025-05-21 20:56:15,[4]번째 전역 (정부과천청사),정부과천청사,99,0
11,12,12,1001,하행,광명행 - 군포방면,1001080148,1001080150,1001080149,금정,2,12005광명0,"1001,1004","1001080149,1004000443",일반,0,7033,1001075410,광명,2025-05-21 20:56:20,[5]번째 전역 (금천구청),금천구청,99,0
12,12,12,1004,하행,오이도행 - 산본방면,1004000442,1004000444,1004000443,금정,2,12008오이도0,"1001,1004","1001080149,1004000443",일반,0,4691,1004000456,오이도,2025-05-21 20:56:15,[8]번째 전역 (선바위),선바위,99,0
1,12,12,1004,상행,불암산행 - 범계방면,1004000444,1004000442,1004000443,금정,2,01000불암산0,"1001,1004","1001080149,1004000443",일반,0,4690,1004000409,불암산,2025-05-21 20:56:28,금정 도착,금정,1,0
2,12,12,1001,상행,광운대행 - 명학방면,1001080150,1001080148,1001080149,금정,2,01003광운대0,"1001,1004","1001080149,1004000443",일반,0,0496,1001000119,광운대,2025-05-21 20:56:35,[3]번째 전역 (의왕),의왕,99,0
3,12,12,1001,상행,청량리행 - 명학방면 (급행),1001080150,1001080148,1001080149,금정,2,01008청량리1,"1001,1004","1001080149,1004000443",급행,0,1946,1001000124,청량리,2025-05-21 20:49:47,[8]번째 전역 (병점),병점,99,0
4,12,12,1004,상행,불암산행 - 범계방면,1004000444,1004000442,1004000443,금정,2,02003불암산0,"1001,1004","1001080149,1004000443",일반,0,4692,1004000409,불암산,2025-05-21 20:56:28,[3]번째 전역 (대야미),대야미,99,0
5,12,12,1001,상행,광운대행 - 명학방면,1001080150,1001080148,1001080149,금정,2,02005광운대0,"1001,1004","1001080149,1004000443",일반,0,0694,1001000119,광운대,2025-05-21 20:56:35,[5]번째 전역 (화서),화서,99,0
6,12,12,1001,상행,청량리행 - 명학방면 (급행),1001080150,1001080148,1001080149,금정,2,02017청량리1,"1001,1004","1001080149,1004000443",급행,0,1948,1001000124,청량리,2025-05-21 20:49:47,[17]번째 전역 (성환),성환,99,0
7,12,12,1001,하행,서동탄행 - 군포방면,1001080148,1001080150,1001080149,금정,2,11001서동탄0,"1001,1004","1001080149,1004000443",일반,0,0495,1001801571,서동탄,2025-05-21 20:56:20,전역 도착,명학,5,0
8,12,12,1001,하행,신창행 - 군포방면 (급행),1001080148,1001080150,1001080149,금정,2,11002신창1,"1001,1004","1001080149,1004000443",급행,0,1951,1001080176,신창,2025-05-21 20:56:28,[2]번째 전역 (안양),안양,99,0
9,12,12,1004,하행,오이도행 - 산본방면 (급행),1004000442,1004000444,1004000443,금정,2,11002오이도1,"1001,1004","1001080149,1004000443",급행,0,4487,1004000456,오이도,2025-05-21 20:54:51,[2]번째 전역 (평촌),평촌,99,0
10,12,12,1004,하행,오이도행 - 산본방면,1004000442,1004000444,1004000443,금정,2,11004오이도0,"1001,1004","1001080149,1004000443",일반,0,4689,1004000456,오이도,2025-05-21 20:56:42,[4]번째 전역 (정부과천청사),정부과천청사,99,0
11,12,12,1001,하행,광명행 - 군포방면,1001080148,1001080150,1001080149,금정,2,12005광명0,"1001,1004","1001080149,1004000443",일반,0,7033,1001075410,광명,2025-05-21 20:56:20,[5]번째 전역 (금천구청),금천구청,99,0
12,12,12,1004,하행,오이도행 - 산본방면,1004000442,1004000444,1004000443,금정,2,12008오이도0,"1001,1004","1001080149,1004000443",일반,0,4691,1004000456,오이도,2025-05-21 20:56:42,[8]번째 전역 (선바위),선바위,99,0
1,12,12,1004,상행,불암산행 - 범계방면,1004000444,1004000442,1004000443,금정,2,01000불암산0,"1001,1004","1001080149,1004000443",일반,0,4690,1004000409,불암산,2025-05-21 20:56:28,금정 도착,금정,1,0
2,12,12,1001,상행,광운대행 - 명학방면,1001080150,1001080148,1001080149,금정,2,01003광운대0,"1001,1004","1001080149,1004000443",일반,0,0496,1001000119,광운대,2025-05-21 20:56:35,[3]번째 전역 (의왕),의왕,99,0
3,12,12,1001,상행,청량리행 - 명학방면 (급행),1001080150,1001080148,1001080149,금정,2,01008청량리1,"1001,1004","1001080149,1004000443",급행,0,1946,1001000124,청량리,2025-05-21 20:49:47,[8]번째 전역 (병점),병점,99,0
4,12,12,1004,상행,불암산행 - 범계방면,1004000444,1004000442,1004000443,금정,2,02003불암산0,"1001,1004","1001080149,1004000443",일반,0,4692,1004000409,불암산,2025-05-21 20:56:28,[3]번째 전역 (대야미),대야미,99,0
5,12,12,1001,상행,광운대행 - 명학방면,1001080150,1001080148,1001080149,금정,2,02005광운대0,"1001,1004","1001080149,1004000443",일반,0,0694,1001000119,광운대,2025-05-21 20:56:35,[5]번째 전역 (화서),화서,99,0
6,12,12,1001,상행,청량리행 - 명학방면 (급행),1001080150,1001080148,1001080149,금정,2,02016청량리1,"1001,1004","1001080149,1004000443",급행,0,1948,1001000124,청량리,2025-05-21 20:49:47,[16]번째 전역 (평택),평택,99,0
7,12,12,1001,하행,서동탄행 - 군포방면,1001080148,1001080150,1001080149,금정,2,11001서동탄0,"1001,1004","1001080149,1004000443",일반,0,0495,1001801571,서동탄,2025-05-21 20:56:20,전역 도착,명학,5,0
8,12,12,1004,하행,오이도행 - 산본방면 (급행),1004000442,1004000444,1004000443,금정,2,11001오이도1,"1001,1004","1001080149,1004000443",급행,0,4487,1004000456,오이도,2025-05-21 20:56:47,전역 진입,범계,4,0
