rowNum,selectedCount,totalCount,subwayId,updnLine,trainLineNm,statnFid,statnTid,statnId,statnNm,trnsitCo,ordkey,subwayList,statnList,btrainSttus,barvlDt,btrainNo,bstatnId,bstatnNm,recptnDt,arvlMsg2,arvlMsg3,arvlCd,lstcarAt
1,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,01000불암산0,"1002,1004","1002000226,1004000433",일반,10,4202,1004000409,불암산,2025-05-21 20:55:06,사당 진입,사당,0,0
2,11,11,1002,외선,성수행 - 방배방면,1002000227,1002000225,1002000226,사당,2,01001성수0,"1002,1004","1002000226,1004000433",일반,110,3441,1002000211,성수,2025-05-21 20:55:05,사당 진입,낙성대,0,0
3,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,01003불암산0,"1002,1004","1002000226,1004000433",일반,0,4686,1004000409,불암산,2025-05-21 20:54:34,[3]번째 전역 (경마공원),경마공원,99,0
4,11,11,1002,외선,성수행 - 방배방면,1002000227,1002000225,1002000226,사당,2,02003성수0,"1002,1004","1002000226,1004000433",일반,270,7443,1002000211,성수,2025-05-21 20:55:05,4분 30초 후,봉천,99,0
5,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,02008불암산0,"1002,1004","1002000226,1004000433",일반,0,4688,1004000409,불암산,2025-05-21 20:54:34,[8]번째 전역 (평촌),평촌,99,0
6,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,11000사당0,"1002,1004","1002000226,1004000433",일반,0,4177,1004000433,사당,2025-05-21 20:39:46,사당 도착,사당,1,0
7,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,11001사당0,"1002,1004","1002000226,1004000433",일반,160,4181,1004000433,사당,2025-05-21 20:54:42,전역 도착,총신대입구(이수),5,0
8,11,11,1002,내선,성수행 - 낙성대방면,1002000225,1002000227,1002000226,사당,2,11002성수0,"1002,1004","1002000226,1004000433",일반,260,2440,1002000211,성수,2025-05-21 20:55:05,4분 20초 후,서초,99,0
9,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,12000사당0,"1002,1004","1002000226,1004000433",일반,0,4175,1004000433,사당,2025-05-21 20:39:46,사당 도착,사당,1,0
10,11,11,1004,하행,오이도행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,12002오이도0,"1002,1004","1002000226,1004000433",일반,340,4693,1004000456,오이도,2025-05-21 20:54:42,5분 40초 후 (동작),동작,99,0
11,11,11,1002,내선,성수행 - 낙성대방면,1002000225,1002000227,1002000226,사당,2,12004성수0,"1002,1004","1002000226,1004000433",일반,420,3442,1002000211,성수,2025-05-21 20:55:05,7분 후,강남,99,0
1,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,01000불암산0,"1002,1004","1002000226,1004000433",일반,10,4202,1004000409,불암산,2025-05-21 20:55:06,사당 진입,사당,0,0
2,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,01003불암산0,"1002,1004","1002000226,1004000433",일반,0,4686,1004000409,불암산,2025-05-21 20:54:34,[3]번째 전역 (경마공원),경마공원,99,0
3,11,11,1002,외선,성수행 - 방배방면,1002000227,1002000225,1002000226,사당,2,01003성수0,"1002,1004","1002000226,1004000433",일반,270,7443,1002000211,성수,2025-05-21 20:55:25,4분 30초 후,봉천,99,0
4,11,11,1002,외선,성수행 - 방배방면,1002000227,1002000225,1002000226,사당,2,02005성수0,"1002,1004","1002000226,1004000433",일반,480,8447,1002000211,성수,2025-05-21 20:55:25,8분 후,신대방,99,0
5,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,02008불암산0,"1002,1004","1002000226,1004000433",일반,0,4688,1004000409,불암산,2025-05-21 20:54:34,[8]번째 전역 (평촌),평촌,99,0
6,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,11000사당0,"1002,1004","1002000226,1004000433",일반,0,4177,1004000433,사당,2025-05-21 20:39:46,사당 도착,사당,1,0
7,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,11001사당0,"1002,1004","1002000226,1004000433",일반,150,4181,1004000433,사당,2025-05-21 20:55:24,전역 도착,총신대입구(이수),5,0
8,11,11,1002,내선,성수행 - 낙성대방면,1002000225,1002000227,1002000226,사당,2,11002성수0,"1002,1004","1002000226,1004000433",일반,260,2440,1002000211,성수,2025-05-21 20:55:25,4분 20초 후,서초,99,0
9,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,12000사당0,"1002,1004","1002000226,1004000433",일반,0,4175,1004000433,사당,2025-05-21 20:39:46,사당 도착,사당,1,0
10,11,11,1004,하행,오이도행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,12002오이도0,"1002,1004","1002000226,1004000433",일반,340,4693,1004000456,오이도,2025-05-21 20:55:24,5분 40초 후 (동작),동작,99,0
11,11,11,1002,내선,성수행 - 낙성대방면,1002000225,1002000227,1002000226,사당,2,12004성수0,"1002,1004","1002000226,1004000433",일반,420,3442,1002000211,성수,2025-05-21 20:55:25,7분 후,강남,99,0
1,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,01000불암산0,"1002,1004","1002000226,1004000433",일반,10,4202,1004000409,불암산,2025-05-21 20:55:06,사당 진입,사당,0,0
2,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,01003불암산0,"1002,1004","1002000226,1004000433",일반,0,4686,1004000409,불암산,2025-05-21 20:54:34,[3]번째 전역 (경마공원),경마공원,99,0
3,11,11,1002,외선,성수행 - 방배방면,1002000227,1002000225,1002000226,사당,2,01003성수0,"1002,1004","1002000226,1004000433",일반,270,7443,1002000211,성수,2025-05-21 20:55:30,4분 30초 후,봉천,99,0
4,11,11,1002,외선,성수행 - 방배방면,1002000227,1002000225,1002000226,사당,2,02005성수0,"1002,1004","1002000226,1004000433",일반,480,8447,1002000211,성수,2025-05-21 20:55:30,8분 후,신대방,99,0
5,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,02008불암산0,"1002,1004","1002000226,1004000433",일반,0,4688,1004000409,불암산,2025-05-21 20:54:34,[8]번째 전역 (평촌),평촌,99,0
6,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,11000사당0,"1002,1004","1002000226,1004000433",일반,0,4177,1004000433,사당,2025-05-21 20:39:46,사당 도착,사당,1,0
7,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,11001사당0,"1002,1004","1002000226,1004000433",일반,150,4181,1004000433,사당,2025-05-21 20:55:24,전역 도착,총신대입구(이수),5,0
8,11,11,1002,내선,성수행 - 낙성대방면,1002000225,1002000227,1002000226,사당,2,11002성수0,"1002,1004","1002000226,1004000433",일반,260,2440,1002000211,성수,2025-05-21 20:55:30,4분 20초 후,서초,99,0
9,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,12000사당0,"1002,1004","1002000226,1004000433",일반,0,4175,1004000433,사당,2025-05-21 20:39:46,사당 도착,사당,1,0
10,11,11,1004,하행,오이도행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,12002오이도0,"1002,1004","1002000226,1004000433",일반,340,4693,1004000456,오이도,2025-05-21 20:55:24,5분 40초 후 (동작),동작,99,0
11,11,11,1002,내선,성수행 - 낙성대방면,1002000225,1002000227,1002000226,사당,2,12004성수0,"1002,1004","1002000226,1004000433",일반,420,3442,1002000211,성수,2025-05-21 20:55:30,7분 후,강남,99,0
1,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,01000불암산0,"1002,1004","1002000226,1004000433",일반,10,4202,1004000409,불암산,2025-05-21 20:55:48,사당 진입,사당,0,0
2,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,01002불암산0,"1002,1004","1002000226,1004000433",일반,0,4686,1004000409,불암산,2025-05-21 20:55:41,[2]번째 전역 (선바위),선바위,99,0
3,11,11,1002,외선,성수행 - 방배방면,1002000227,1002000225,1002000226,사당,2,01003성수0,"1002,1004","1002000226,1004000433",일반,270,7443,1002000211,성수,2025-05-21 20:55:45,4분 30초 후,봉천,99,0
4,11,11,1002,외선,성수행 - 방배방면,1002000227,1002000225,1002000226,사당,2,02005성수0,"1002,1004","1002000226,1004000433",일반,480,8447,1002000211,성수,2025-05-21 20:55:45,8분 후,신대방,99,0
5,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,02008불암산0,"1002,1004","1002000226,1004000433",일반,0,4688,1004000409,불암산,2025-05-21 20:55:41,[8]번째 전역 (평촌),평촌,99,0
6,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,11000사당0,"1002,1004","1002000226,1004000433",일반,0,4177,1004000433,사당,2025-05-21 20:39:46,사당 도착,사당,1,0
7,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,11001사당0,"1002,1004","1002000226,1004000433",일반,150,4181,1004000433,사당,2025-05-21 20:55:24,전역 도착,총신대입구(이수),5,0
8,11,11,1002,내선,성수행 - 낙성대방면,1002000225,1002000227,1002000226,사당,2,11001성수0,"1002,1004","1002000226,1004000433",일반,160,2440,1002000211,성수,2025-05-21 20:55:45,전역 진입,방배,4,0
9,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,12000사당0,"1002,1004","1002000226,1004000433",일반,0,4175,1004000433,사당,2025-05-21 20:39:46,사당 도착,사당,1,0
10,11,11,1004,하행,오이도행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,12002오이도0,"1002,1004","1002000226,1004000433",일반,340,4693,1004000456,오이도,2025-05-21 20:55:24,5분 40초 후 (동작),동작,99,0
11,11,11,1002,내선,성수행 - 낙성대방면,1002000225,1002000227,1002000226,사당,2,12004성수0,"1002,1004","1002000226,1004000433",일반,420,3442,1002000211,성수,2025-05-21 20:55:45,7분 후,강남,99,0
1,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,01000불암산0,"1002,1004","1002000226,1004000433",일반,10,4202,1004000409,불암산,2025-05-21 20:55:48,사당 진입,사당,0,0
2,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,01002불암산0,"1002,1004","1002000226,1004000433",일반,0,4686,1004000409,불암산,2025-05-21 20:55:41,[2]번째 전역 (선바위),선바위,99,0
3,11,11,1002,외선,성수행 - 방배방면,1002000227,1002000225,1002000226,사당,2,01003성수0,"1002,1004","1002000226,1004000433",일반,260,7443,1002000211,성수,2025-05-21 20:55:55,4분 20초 후,봉천,99,0
4,11,11,1002,외선,성수행 - 방배방면,1002000227,1002000225,1002000226,사당,2,02005성수0,"1002,1004","1002000226,1004000433",일반,480,8447,1002000211,성수,2025-05-21 20:55:55,8분 후,신대방,99,0
5,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,02008불암산0,"1002,1004","1002000226,1004000433",일반,0,4688,1004000409,불암산,2025-05-21 20:55:41,[8]번째 전역 (평촌),평촌,99,0
6,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,11000사당0,"1002,1004","1002000226,1004000433",일반,0,4177,1004000433,사당,2025-05-21 20:39:46,사당 도착,사당,1,0
7,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,11001사당0,"1002,1004","1002000226,1004000433",일반,150,4181,1004000433,사당,2025-05-21 20:55:24,전역 도착,총신대입구(이수),5,0
8,11,11,1002,내선,성수행 - 낙성대방면,1002000225,1002000227,1002000226,사당,2,11001성수0,"1002,1004","1002000226,1004000433",일반,150,2440,1002000211,성수,2025-05-21 20:55:55,전역 도착,방배,5,0
9,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,12000사당0,"1002,1004","1002000226,1004000433",일반,0,4175,1004000433,사당,2025-05-21 20:39:46,사당 도착,사당,1,0
10,11,11,1004,하행,오이도행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,12002오이도0,"1002,1004","1002000226,1004000433",일반,340,4693,1004000456,오이도,2025-05-21 20:55:24,5분 40초 후 (동작),동작,99,0
11,11,11,1002,내선,성수행 - 낙성대방면,1002000225,1002000227,1002000226,사당,2,12004성수0,"1002,1004","1002000226,1004000433",일반,410,3442,1002000211,성수,2025-05-21 20:55:55,6분 50초 후,강남,99,0
1,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,01000불암산0,"1002,1004","1002000226,1004000433",일반,10,4202,1004000409,불암산,2025-05-21 20:55:48,사당 도착,사당,1,0
2,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,01002불암산0,"1002,1004","1002000226,1004000433",일반,0,4686,1004000409,불암산,2025-05-21 20:55:41,[2]번째 전역 (선바위),선바위,99,0
3,11,11,1002,외선,성수행 - 방배방면,1002000227,1002000225,1002000226,사당,2,01003성수0,"1002,1004","1002000226,1004000433",일반,260,7443,1002000211,성수,2025-05-21 20:56:05,4분 20초 후,봉천,99,0
4,11,11,1002,외선,성수행 - 방배방면,1002000227,1002000225,1002000226,사당,2,02005성수0,"1002,1004","1002000226,1004000433",일반,470,8447,1002000211,성수,2025-05-21 20:56:05,7분 50초 후,신대방,99,0
5,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,02007불암산0,"1002,1004","1002000226,1004000433",일반,0,4688,1004000409,불암산,2025-05-21 20:55:41,[7]번째 전역 (인덕원),인덕원,99,0
6,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,11000사당0,"1002,1004","1002000226,1004000433",일반,0,4177,1004000433,사당,2025-05-21 20:39:46,사당 도착,사당,1,0
7,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,11001사당0,"1002,1004","1002000226,1004000433",일반,150,4181,1004000433,사당,2025-05-21 20:56:05,전역 도착,총신대입구(이수),5,0
8,11,11,1002,내선,성수행 - 낙성대방면,1002000225,1002000227,1002000226,사당,2,11001성수0,"1002,1004","1002000226,1004000433",일반,150,2440,1002000211,성수,2025-05-21 20:56:05,전역 도착,방배,5,0
9,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,12000사당0,"1002,1004","1002000226,1004000433",일반,0,4175,1004000433,사당,2025-05-21 20:39:46,사당 도착,사당,1,0
10,11,11,1004,하행,오이도행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,12002오이도0,"1002,1004","1002000226,1004000433",일반,340,4693,1004000456,오이도,2025-05-21 20:56:05,5분 40초 후 (동작),동작,99,0
11,11,11,1002,내선,성수행 - 낙성대방면,1002000225,1002000227,1002000226,사당,2,12004성수0,"1002,1004","1002000226,1004000433",일반,410,3442,1002000211,성수,2025-05-21 20:56:05,6분 50초 후,강남,99,0
1,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,01000불암산0,"1002,1004","1002000226,1004000433",일반,10,4202,1004000409,불암산,2025-05-21 20:55:48,사당 도착,사당,1,0
2,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,01002불암산0,"1002,1004","1002000226,1004000433",일반,0,4686,1004000409,불암산,2025-05-21 20:56:13,[2]번째 전역 (선바위),선바위,99,0
3,11,11,1002,외선,성수행 - 방배방면,1002000227,1002000225,1002000226,사당,2,01003성수0,"1002,1004","1002000226,1004000433",일반,260,7443,1002000211,성수,2025-05-21 20:56:20,4분 20초 후,봉천,99,0
4,11,11,1002,외선,성수행 - 방배방면,1002000227,1002000225,1002000226,사당,2,02005성수0,"1002,1004","1002000226,1004000433",일반,470,8447,1002000211,성수,2025-05-21 20:56:20,7분 50초 후,신대방,99,0
5,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,02007불암산0,"1002,1004","1002000226,1004000433",일반,0,4688,1004000409,불암산,2025-05-21 20:56:13,[7]번째 전역 (인덕원),인덕원,99,0
6,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,11000사당0,"1002,1004","1002000226,1004000433",일반,0,4177,1004000433,사당,2025-05-21 20:39:46,사당 도착,사당,1,0
7,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,11001사당0,"1002,1004","1002000226,1004000433",일반,150,4181,1004000433,사당,2025-05-21 20:56:05,전역 도착,총신대입구(이수),5,0
8,11,11,1002,내선,성수행 - 낙성대방면,1002000225,1002000227,1002000226,사당,2,11001성수0,"1002,1004","1002000226,1004000433",일반,150,2440,1002000211,성수,2025-05-21 20:56:20,전역 도착,방배,5,0
9,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,12000사당0,"1002,1004","1002000226,1004000433",일반,0,4175,1004000433,사당,2025-05-21 20:39:46,사당 도착,사당,1,0
10,11,11,1004,하행,오이도행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,12002오이도0,"1002,1004","1002000226,1004000433",일반,340,4693,1004000456,오이도,2025-05-21 20:56:05,5분 40초 후 (동작),동작,99,0
11,11,11,1002,내선,성수행 - 낙성대방면,1002000225,1002000227,1002000226,사당,2,12004성수0,"1002,1004","1002000226,1004000433",일반,410,3442,1002000211,성수,2025-05-21 20:56:20,6분 50초 후,강남,99,0
1,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,01000불암산0,"1002,1004","1002000226,1004000433",일반,0,4202,1004000409,불암산,2025-05-21 20:56:28,사당 도착,사당,1,0
2,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,01002불암산0,"1002,1004","1002000226,1004000433",일반,0,4686,1004000409,불암산,2025-05-21 20:56:13,[2]번째 전역 (선바위),선바위,99,0
3,11,11,1002,외선,성수행 - 방배방면,1002000227,1002000225,1002000226,사당,2,01002성수0,"1002,1004","1002000226,1004000433",일반,220,7443,1002000211,성수,2025-05-21 20:56:31,3분 40초 후,서울대입구,99,0
4,11,11,1002,외선,성수행 - 방배방면,1002000227,1002000225,1002000226,사당,2,02005성수0,"1002,1004","1002000226,1004000433",일반,470,8447,1002000211,성수,2025-05-21 20:56:31,7분 50초 후,신대방,99,0
5,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,02007불암산0,"1002,1004","1002000226,1004000433",일반,0,4688,1004000409,불암산,2025-05-21 20:56:13,[7]번째 전역 (인덕원),인덕원,99,0
6,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,11000사당0,"1002,1004","1002000226,1004000433",일반,0,4177,1004000433,사당,2025-05-21 20:39:46,사당 도착,사당,1,0
7,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,11001사당0,"1002,1004","1002000226,1004000433",일반,150,4181,1004000433,사당,2025-05-21 20:56:05,전역 도착,총신대입구(이수),5,0
8,11,11,1002,내선,성수행 - 낙성대방면,1002000225,1002000227,1002000226,사당,2,11001성수0,"1002,1004","1002000226,1004000433",일반,150,2440,1002000211,성수,2025-05-21 20:56:31,전역 도착,방배,5,0
9,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,12000사당0,"1002,1004","1002000226,1004000433",일반,0,4175,1004000433,사당,2025-05-21 20:39:46,사당 도착,사당,1,0
10,11,11,1004,하행,오이도행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,12002오이도0,"1002,1004","1002000226,1004000433",일반,340,4693,1004000456,오이도,2025-05-21 20:56:05,5분 40초 후 (동작),동작,99,0
11,11,11,1002,내선,성수행 - 낙성대방면,1002000225,1002000227,1002000226,사당,2,12004성수0,"1002,1004","1002000226,1004000433",일반,410,3442,1002000211,성수,2025-05-21 20:56:31,6분 50초 후,강남,99,0
1,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,01000불암산0,"1002,1004","1002000226,1004000433",일반,0,4202,1004000409,불암산,2025-05-21 20:56:28,사당 도착,사당,1,0
2,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,01002불암산0,"1002,1004","1002000226,1004000433",일반,0,4686,1004000409,불암산,2025-05-21 20:56:13,[2]번째 전역 (선바위),선바위,99,0
3,11,11,1002,외선,성수행 - 방배방면,1002000227,1002000225,1002000226,사당,2,01002성수0,"1002,1004","1002000226,1004000433",일반,210,7443,1002000211,성수,2025-05-21 20:56:41,3분 30초 후,서울대입구,99,0
4,11,11,1002,외선,성수행 - 방배방면,1002000227,1002000225,1002000226,사당,2,02005성수0,"1002,1004","1002000226,1004000433",일반,470,8447,1002000211,성수,2025-05-21 20:56:41,7분 50초 후,신대방,99,0
5,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,02007불암산0,"1002,1004","1002000226,1004000433",일반,0,4688,1004000409,불암산,2025-05-21 20:56:13,[7]번째 전역 (인덕원),인덕원,99,0
6,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,11000사당0,"1002,1004","1002000226,1004000433",일반,0,4177,1004000433,사당,2025-05-21 20:39:46,사당 도착,사당,1,0
7,11,11,1002,내선,성수행 - 낙성대방면,1002000225,1002000227,1002000226,사당,2,11001성수0,"1002,1004","1002000226,1004000433",일반,150,2440,1002000211,성수,2025-05-21 20:56:41,전역 도착,방배,5,0
8,11,11,1004,하행,오이도행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,11002오이도0,"1002,1004","1002000226,1004000433",일반,310,4693,1004000456,오이도,2025-05-21 20:56:45,5분 10초 후 (동작),동작,99,0
9,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,12000사당0,"1002,1004","1002000226,1004000433",일반,0,4175,1004000433,사당,2025-05-21 20:39:46,사당 도착,사당,1,0
10,11,11,1002,내선,성수행 - 낙성대방면,1002000225,1002000227,1002000226,사당,2,12003성수0,"1002,1004","1002000226,1004000433",일반,330,3442,1002000211,성수,2025-05-21 20:56:41,5분 30초 후,교대,99,0
11,11,11,1004,하행,오이도행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,12003오이도0,"1002,1004","1002000226,1004000433",일반,545,4695,1004000456,오이도,2025-05-21 20:56:45,9분 5초 후 (이촌),이촌,99,0
1,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,01000불암산0,"1002,1004","1002000226,1004000433",일반,0,4202,1004000409,불암산,2025-05-21 20:56:28,사당 도착,사당,1,0
2,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,01002불암산0,"1002,1004","1002000226,1004000433",일반,0,4686,1004000409,불암산,2025-05-21 20:56:13,[2]번째 전역 (선바위),선바위,99,0
3,11,11,1002,외선,성수행 - 방배방면,1002000227,1002000225,1002000226,사당,2,01002성수0,"1002,1004","1002000226,1004000433",일반,210,7443,1002000211,성수,2025-05-21 20:56:56,3분 30초 후,서울대입구,99,0
4,11,11,1002,외선,성수행 - 방배방면,1002000227,1002000225,1002000226,사당,2,02005성수0,"1002,1004","1002000226,1004000433",일반,470,8447,1002000211,성수,2025-05-21 20:56:56,7분 50초 후,신대방,99,0
5,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,02007불암산0,"1002,1004","1002000226,1004000433",일반,0,4688,1004000409,불암산,2025-05-21 20:56:13,[7]번째 전역 (인덕원),인덕원,99,0
6,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,11000사당0,"1002,1004","1002000226,1004000433",일반,0,4177,1004000433,사당,2025-05-21 20:39:46,사당 도착,사당,1,0
7,11,11,1002,내선,성수행 - 낙성대방면,1002000225,1002000227,1002000226,사당,2,11001성수0,"1002,1004","1002000226,1004000433",일반,140,2440,1002000211,성수,2025-05-21 20:56:56,전역 출발,방배,3,0
8,11,11,1004,하행,오이도행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,11002오이도0,"1002,1004","1002000226,1004000433",일반,310,4693,1004000456,오이도,2025-05-21 20:56:45,5분 10초 후 (동작),동작,99,0
9,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,12000사당0,"1002,1004","1002000226,1004000433",일반,0,4175,1004000433,사당,2025-05-21 20:39:46,사당 도착,사당,1,0
10,11,11,1002,내선,성수행 - 낙성대방면,1002000225,1002000227,1002000226,사당,2,12003성수0,"1002,1004","1002000226,1004000433",일반,330,3442,1002000211,성수,2025-05-21 20:56:56,5분 30초 후,교대,99,0
11,11,11,1004,하행,오이도행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,12003오이도0,"1002,1004","1002000226,1004000433",일반,545,4695,1004000456,오이도,2025-05-21 20:56:45,9분 5초 후 (이촌),이촌,99,0
1,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,01000불암산0,"1002,1004","1002000226,1004000433",일반,0,4202,1004000409,불암산,2025-05-21 20:56:28,사당 도착,사당,1,0
2,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,01002불암산0,"1002,1004","1002000226,1004000433",일반,0,4686,1004000409,불암산,2025-05-21 20:56:13,[2]번째 전역 (선바위),선바위,99,0
3,11,11,1002,외선,성수행 - 방배방면,1002000227,1002000225,1002000226,사당,2,01002성수0,"1002,1004","1002000226,1004000433",일반,210,7443,1002000211,성수,2025-05-21 20:56:56,3분 30초 후,서울대입구,99,0
4,11,11,1002,외선,성수행 - 방배방면,1002000227,1002000225,1002000226,사당,2,02005성수0,"1002,1004","1002000226,1004000433",일반,470,8447,1002000211,성수,2025-05-21 20:56:56,7분 50초 후,신대방,99,0
5,11,11,1004,상행,불암산행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,02007불암산0,"1002,1004","1002000226,1004000433",일반,0,4688,1004000409,불암산,2025-05-21 20:56:13,[7]번째 전역 (인덕원),인덕원,99,0
6,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,11000사당0,"1002,1004","1002000226,1004000433",일반,0,4177,1004000433,사당,2025-05-21 20:39:46,사당 도착,사당,1,0
7,11,11,1002,내선,성수행 - 낙성대방면,1002000225,1002000227,1002000226,사당,2,11001성수0,"1002,1004","1002000226,1004000433",일반,140,2440,1002000211,성수,2025-05-21 20:56:56,전역 출발,방배,3,0
8,11,11,1004,하행,오이도행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,11002오이도0,"1002,1004","1002000226,1004000433",일반,310,4693,1004000456,오이도,2025-05-21 20:56:45,5분 10초 후 (동작),동작,99,0
9,11,11,1004,하행,사당행 - 남태령방면,1004000432,1004000434,1004000433,사당,2,12000사당0,"1002,1004","1002000226,1004000433",일반,0,4175,1004000433,사당,2025-05-21 20:39:46,사당 도착,사당,1,0
10,11,11,1002,내선,성수행 - 낙성대방면,1002000225,1002000227,1002000226,사당,2,12003성수0,"1002,1004","1002000226,1004000433",일반,330,3442,1002000211,성수,2025-05-21 20:56:56,5분 30초 후,교대,99,0
