rowNum,selectedCount,totalCount,subwayId,updnLine,trainLineNm,statnFid,statnTid,statnId,statnNm,trnsitCo,ordkey,subwayList,statnList,btrainSttus,barvlDt,btrainNo,bstatnId,bstatnNm,recptnDt,arvlMsg2,arvlMsg3,arvlCd,lstcarAt
7,7,7,1001,하행,서동탄행 - 당정방면,1001080149,1001080151,1001080150,군포,1,12002서동탄0,1001,1001080150,일반,0,0495,1001801571,서동탄,2025-05-21 20:57:30,[2]번째 전역 (명학),명학,99,0
1,7,7,1001,상행,광운대행 - 금정방면,1001080151,1001080149,1001080150,군포,1,01002광운대0,1001,1001080150,일반,0,0496,1001000119,광운대,2025-05-21 20:57:17,[2]번째 전역 (의왕),의왕,99,0
2,7,7,1001,상행,청량리행 - 금정방면 (급행),1001080151,1001080149,1001080150,군포,1,01005청량리1,1001,1001080150,급행,0,1946,1001000124,청량리,2025-05-21 20:58:35,[5]번째 전역 (수원),수원,99,0
3,7,7,1001,상행,광운대행 - 금정방면,1001080151,1001080149,1001080150,군포,1,02003광운대0,1001,1001080150,일반,0,0694,1001000119,광운대,2025-05-21 20:57:17,[3]번째 전역 (성균관대),성균관대,99,0
4,7,7,1001,상행,청량리행 - 금정방면 (급행),1001080151,1001080149,1001080150,군포,1,02015청량리1,1001,1001080150,급행,0,1948,1001000124,청량리,2025-05-21 20:58:35,[15]번째 전역 (평택),평택,99,0
5,7,7,1001,하행,천안행 - 당정방면,1001080149,1001080151,1001080150,군포,1,11000천안0,1001,1001080150,일반,0,0693,1001080169,천안,2025-05-21 20:57:30,군포 도착,군포,1,0
6,7,7,1001,하행,신창행 - 당정방면 (급행),1001080149,1001080151,1001080150,군포,1,11003신창1,1001,1001080150,급행,0,1951,1001080176,신창,2025-05-21 20:57:29,[3]번째 전역 (안양),안양,99,0
7,7,7,1001,하행,서동탄행 - 당정방면,1001080149,1001080151,1001080150,군포,1,12001서동탄0,1001,1001080150,일반,0,0495,1001801571,서동탄,2025-05-21 20:57:30,전역 진입,금정,4,0
1,7,7,1001,상행,광운대행 - 금정방면,1001080151,1001080149,1001080150,군포,1,01002광운대0,1001,1001080150,일반,0,0496,1001000119,광운대,2025-05-21 20:57:17,[2]번째 전역 (의왕),의왕,99,0
2,7,7,1001,상행,청량리행 - 금정방면 (급행),1001080151,1001080149,1001080150,군포,1,01005청량리1,1001,1001080150,급행,0,1946,1001000124,청량리,2025-05-21 20:58:35,[5]번째 전역 (수원),수원,99,0
3,7,7,1001,상행,광운대행 - 금정방면,1001080151,1001080149,1001080150,군포,1,02003광운대0,1001,1001080150,일반,0,0694,1001000119,광운대,2025-05-21 20:57:17,[3]번째 전역 (성균관대),성균관대,99,0
4,7,7,1001,상행,청량리행 - 금정방면 (급행),1001080151,1001080149,1001080150,군포,1,02015청량리1,1001,1001080150,급행,0,1948,1001000124,청량리,2025-05-21 20:58:35,[15]번째 전역 (평택),평택,99,0
5,7,7,1001,하행,천안행 - 당정방면,1001080149,1001080151,1001080150,군포,1,11000천안0,1001,1001080150,일반,0,0693,1001080169,천안,2025-05-21 20:57:30,군포 도착,군포,1,0
6,7,7,1001,하행,신창행 - 당정방면 (급행),1001080149,1001080151,1001080150,군포,1,11003신창1,1001,1001080150,급행,0,1951,1001080176,신창,2025-05-21 20:57:29,[3]번째 전역 (안양),안양,99,0
7,7,7,1001,하행,서동탄행 - 당정방면,1001080149,1001080151,1001080150,군포,1,12001서동탄0,1001,1001080150,일반,0,0495,1001801571,서동탄,2025-05-21 20:57:30,전역 도착,금정,5,0
1,7,7,1001,상행,광운대행 - 금정방면,1001080151,1001080149,1001080150,군포,1,01002광운대0,1001,1001080150,일반,0,0496,1001000119,광운대,2025-05-21 20:57:17,[2]번째 전역 (의왕),의왕,99,0
2,7,7,1001,상행,청량리행 - 금정방면 (급행),1001080151,1001080149,1001080150,군포,1,01005청량리1,1001,1001080150,급행,0,1946,1001000124,청량리,2025-05-21 20:58:35,[5]번째 전역 (수원),수원,99,0
3,7,7,1001,상행,광운대행 - 금정방면,1001080151,1001080149,1001080150,군포,1,02003광운대0,1001,1001080150,일반,0,0694,1001000119,광운대,2025-05-21 20:57:17,[3]번째 전역 (성균관대),성균관대,99,0
4,7,7,1001,상행,청량리행 - 금정방면 (급행),1001080151,1001080149,1001080150,군포,1,02015청량리1,1001,1001080150,급행,0,1948,1001000124,청량리,2025-05-21 20:58:35,[15]번째 전역 (평택),평택,99,0
5,7,7,1001,하행,천안행 - 당정방면,1001080149,1001080151,1001080150,군포,1,11000천안0,1001,1001080150,일반,0,0693,1001080169,천안,2025-05-21 20:57:30,군포 도착,군포,1,0
6,7,7,1001,하행,신창행 - 당정방면 (급행),1001080149,1001080151,1001080150,군포,1,11003신창1,1001,1001080150,급행,0,1951,1001080176,신창,2025-05-21 20:57:29,[3]번째 전역 (안양),안양,99,0
7,7,7,1001,하행,서동탄행 - 당정방면,1001080149,1001080151,1001080150,군포,1,12001서동탄0,1001,1001080150,일반,0,0495,1001801571,서동탄,2025-05-21 20:57:30,전역 도착,금정,5,0
1,7,7,1001,상행,광운대행 - 금정방면,1001080151,1001080149,1001080150,군포,1,01002광운대0,1001,1001080150,일반,0,0496,1001000119,광운대,2025-05-21 20:57:17,[2]번째 전역 (의왕),의왕,99,0
2,7,7,1001,상행,청량리행 - 금정방면 (급행),1001080151,1001080149,1001080150,군포,1,01005청량리1,1001,1001080150,급행,0,1946,1001000124,청량리,2025-05-21 20:59:00,[5]번째 전역 (수원),수원,99,0
3,7,7,1001,상행,광운대행 - 금정방면,1001080151,1001080149,1001080150,군포,1,02003광운대0,1001,1001080150,일반,0,0694,1001000119,광운대,2025-05-21 20:57:17,[3]번째 전역 (성균관대),성균관대,99,0
4,7,7,1001,상행,청량리행 - 금정방면 (급행),1001080151,1001080149,1001080150,군포,1,02015청량리1,1001,1001080150,급행,0,1948,1001000124,청량리,2025-05-21 20:59:00,[15]번째 전역 (평택),평택,99,0
5,7,7,1001,하행,천안행 - 당정방면,1001080149,1001080151,1001080150,군포,1,11000천안0,1001,1001080150,일반,0,0693,1001080169,천안,2025-05-21 20:57:30,군포 도착,군포,1,0
6,7,7,1001,하행,신창행 - 당정방면 (급행),1001080149,1001080151,1001080150,군포,1,11003신창1,1001,1001080150,급행,0,1951,1001080176,신창,2025-05-21 20:57:29,[3]번째 전역 (안양),안양,99,0
7,7,7,1001,하행,서동탄행 - 당정방면,1001080149,1001080151,1001080150,군포,1,12001서동탄0,1001,1001080150,일반,0,0495,1001801571,서동탄,2025-05-21 20:57:30,전역 도착,금정,5,0
1,7,7,1001,상행,광운대행 - 금정방면,1001080151,1001080149,1001080150,군포,1,01002광운대0,1001,1001080150,일반,0,0496,1001000119,광운대,2025-05-21 20:57:17,[2]번째 전역 (의왕),의왕,99,0
2,7,7,1001,상행,청량리행 - 금정방면 (급행),1001080151,1001080149,1001080150,군포,1,01005청량리1,1001,1001080150,급행,0,1946,1001000124,청량리,2025-05-21 20:59:00,[5]번째 전역 (수원),수원,99,0
3,7,7,1001,상행,광운대행 - 금정방면,1001080151,1001080149,1001080150,군포,1,02003광운대0,1001,1001080150,일반,0,0694,1001000119,광운대,2025-05-21 20:57:17,[3]번째 전역 (성균관대),성균관대,99,0
4,7,7,1001,상행,청량리행 - 금정방면 (급행),1001080151,1001080149,1001080150,군포,1,02015청량리1,1001,1001080150,급행,0,1948,1001000124,청량리,2025-05-21 20:59:00,[15]번째 전역 (평택),평택,99,0
5,7,7,1001,하행,천안행 - 당정방면,1001080149,1001080151,1001080150,군포,1,11000천안0,1001,1001080150,일반,0,0693,1001080169,천안,2025-05-21 20:57:30,군포 진입,군포,0,0
6,7,7,1001,하행,신창행 - 당정방면 (급행),1001080149,1001080151,1001080150,군포,1,11003신창1,1001,1001080150,급행,0,1951,1001080176,신창,2025-05-21 20:57:29,[3]번째 전역 (안양),안양,99,0
7,7,7,1001,하행,서동탄행 - 당정방면,1001080149,1001080151,1001080150,군포,1,12001서동탄0,1001,1001080150,일반,0,0495,1001801571,서동탄,2025-05-21 20:57:30,전역 도착,금정,5,0
1,7,7,1001,상행,광운대행 - 금정방면,1001080151,1001080149,1001080150,군포,1,01002광운대0,1001,1001080150,일반,0,0496,1001000119,광운대,2025-05-21 20:57:17,[2]번째 전역 (의왕),의왕,99,0
2,7,7,1001,상행,청량리행 - 금정방면 (급행),1001080151,1001080149,1001080150,군포,1,01005청량리1,1001,1001080150,급행,0,1946,1001000124,청량리,2025-05-21 20:59:00,[5]번째 전역 (수원),수원,99,0
3,7,7,1001,상행,광운대행 - 금정방면,1001080151,1001080149,1001080150,군포,1,02003광운대0,1001,1001080150,일반,0,0694,1001000119,광운대,2025-05-21 20:57:17,[3]번째 전역 (성균관대),성균관대,99,0
4,7,7,1001,상행,청량리행 - 금정방면 (급행),1001080151,1001080149,1001080150,군포,1,02015청량리1,1001,1001080150,급행,0,1948,1001000124,청량리,2025-05-21 20:59:00,[15]번째 전역 (평택),평택,99,0
5,7,7,1001,하행,서동탄행 - 당정방면,1001080149,1001080151,1001080150,군포,1,11001서동탄0,1001,1001080150,일반,0,0495,1001801571,서동탄,2025-05-21 20:58:44,전역 도착,금정,5,0
6,7,7,1001,하행,신창행 - 당정방면 (급행),1001080149,1001080151,1001080150,군포,1,11003신창1,1001,1001080150,급행,0,1951,1001080176,신창,2025-05-21 20:57:29,[3]번째 전역 (안양),안양,99,0
7,7,7,1001,하행,신창행 - 당정방면,1001080149,1001080151,1001080150,군포,1,12006신창0,1001,1001080150,일반,0,0695,1001080176,신창,2025-05-21 20:58:44,[6]번째 전역 (금천구청),금천구청,99,0
1,7,7,1001,상행,광운대행 - 금정방면,1001080151,1001080149,1001080150,군포,1,01001광운대0,1001,1001080150,일반,0,0496,1001000119,광운대,2025-05-21 20:59:45,전역 진입,당정,4,0
2,7,7,1001,상행,청량리행 - 금정방면 (급행),1001080151,1001080149,1001080150,군포,1,01005청량리1,1001,1001080150,급행,0,1946,1001000124,청량리,2025-05-21 20:59:00,[5]번째 전역 (수원),수원,99,0
3,7,7,1001,상행,광운대행 - 금정방면,1001080151,1001080149,1001080150,군포,1,02003광운대0,1001,1001080150,일반,0,0694,1001000119,광운대,2025-05-21 20:59:45,[3]번째 전역 (성균관대),성균관대,99,0
4,7,7,1001,상행,청량리행 - 금정방면 (급행),1001080151,1001080149,1001080150,군포,1,02015청량리1,1001,1001080150,급행,0,1948,1001000124,청량리,2025-05-21 20:59:00,[15]번째 전역 (평택),평택,99,0
5,7,7,1001,하행,서동탄행 - 당정방면,1001080149,1001080151,1001080150,군포,1,11001서동탄0,1001,1001080150,일반,0,0495,1001801571,서동탄,2025-05-21 20:58:44,전역 도착,금정,5,0
6,7,7,1001,하행,신창행 - 당정방면 (급행),1001080149,1001080151,1001080150,군포,1,11003신창1,1001,1001080150,급행,0,1951,1001080176,신창,2025-05-21 20:57:29,[3]번째 전역 (안양),안양,99,0
7,7,7,1001,하행,신창행 - 당정방면,1001080149,1001080151,1001080150,군포,1,12006신창0,1001,1001080150,일반,0,0695,1001080176,신창,2025-05-21 20:58:44,[6]번째 전역 (금천구청),금천구청,99,0
1,7,7,1001,상행,광운대행 - 금정방면,1001080151,1001080149,1001080150,군포,1,01001광운대0,1001,1001080150,일반,0,0496,1001000119,광운대,2025-05-21 20:59:45,전역 진입,당정,4,0
2,7,7,1001,상행,청량리행 - 금정방면 (급행),1001080151,1001080149,1001080150,군포,1,01005청량리1,1001,1001080150,급행,0,1946,1001000124,청량리,2025-05-21 20:59:00,[5]번째 전역 (수원),수원,99,0
3,7,7,1001,상행,광운대행 - 금정방면,1001080151,1001080149,1001080150,군포,1,02003광운대0,1001,1001080150,일반,0,0694,1001000119,광운대,2025-05-21 20:59:45,[3]번째 전역 (성균관대),성균관대,99,0
4,7,7,1001,상행,청량리행 - 금정방면 (급행),1001080151,1001080149,1001080150,군포,1,02015청량리1,1001,1001080150,급행,0,1948,1001000124,청량리,2025-05-21 20:59:00,[15]번째 전역 (평택),평택,99,0
5,7,7,1001,하행,서동탄행 - 당정방면,1001080149,1001080151,1001080150,군포,1,11001서동탄0,1001,1001080150,일반,0,0495,1001801571,서동탄,2025-05-21 20:58:44,전역 도착,금정,5,0
6,7,7,1001,하행,신창행 - 당정방면 (급행),1001080149,1001080151,1001080150,군포,1,11003신창1,1001,1001080150,급행,0,1951,1001080176,신창,2025-05-21 20:57:29,[3]번째 전역 (안양),안양,99,0
7,7,7,1001,하행,신창행 - 당정방면,1001080149,1001080151,1001080150,군포,1,12006신창0,1001,1001080150,일반,0,0695,1001080176,신창,2025-05-21 20:58:44,[6]번째 전역 (금천구청),금천구청,99,0
1,7,7,1001,상행,광운대행 - 금정방면,1001080151,1001080149,1001080150,군포,1,01001광운대0,1001,1001080150,일반,0,0496,1001000119,광운대,2025-05-21 21:00:13,전역 도착,당정,5,0
2,7,7,1001,상행,청량리행 - 금정방면 (급행),1001080151,1001080149,1001080150,군포,1,01005청량리1,1001,1001080150,급행,0,1946,1001000124,청량리,2025-05-21 20:59:00,[5]번째 전역 (수원),수원,99,0
3,7,7,1001,상행,광운대행 - 금정방면,1001080151,1001080149,1001080150,군포,1,02003광운대0,1001,1001080150,일반,0,0694,1001000119,광운대,2025-05-21 21:00:13,[3]번째 전역 (성균관대),성균관대,99,0
4,7,7,1001,상행,청량리행 - 금정방면 (급행),1001080151,1001080149,1001080150,군포,1,02015청량리1,1001,1001080150,급행,0,1948,1001000124,청량리,2025-05-21 20:59:00,[15]번째 전역 (평택),평택,99,0
5,7,7,1001,하행,서동탄행 - 당정방면,1001080149,1001080151,1001080150,군포,1,11001서동탄0,1001,1001080150,일반,0,0495,1001801571,서동탄,2025-05-21 20:58:44,전역 도착,금정,5,0
6,7,7,1001,하행,신창행 - 당정방면 (급행),1001080149,1001080151,1001080150,군포,1,11003신창1,1001,1001080150,급행,0,1951,1001080176,신창,2025-05-21 20:57:29,[3]번째 전역 (안양),안양,99,0
7,7,7,1001,하행,신창행 - 당정방면,1001080149,1001080151,1001080150,군포,1,12006신창0,1001,1001080150,일반,0,0695,1001080176,신창,2025-05-21 20:58:44,[6]번째 전역 (금천구청),금천구청,99,0
1,7,7,1001,상행,광운대행 - 금정방면,1001080151,1001080149,1001080150,군포,1,01001광운대0,1001,1001080150,일반,0,0496,1001000119,광운대,2025-05-21 21:00:13,전역 도착,당정,5,0
2,7,7,1001,상행,청량리행 - 금정방면 (급행),1001080151,1001080149,1001080150,군포,1,01005청량리1,1001,1001080150,급행,0,1946,1001000124,청량리,2025-05-21 20:59:00,[5]번째 전역 (수원),수원,99,0
3,7,7,1001,상행,광운대행 - 금정방면,1001080151,1001080149,1001080150,군포,1,02003광운대0,1001,1001080150,일반,0,0694,1001000119,광운대,2025-05-21 21:00:13,[3]번째 전역 (성균관대),성균관대,99,0
4,7,7,1001,상행,청량리행 - 금정방면 (급행),1001080151,1001080149,1001080150,군포,1,02015청량리1,1001,1001080150,급행,0,1948,1001000124,청량리,2025-05-21 20:59:00,[15]번째 전역 (평택),평택,99,0
5,7,7,1001,하행,서동탄행 - 당정방면,1001080149,1001080151,1001080150,군포,1,11001서동탄0,1001,1001080150,일반,0,0495,1001801571,서동탄,2025-05-21 20:58:44,전역 도착,금정,5,0
6,7,7,1001,하행,신창행 - 당정방면 (급행),1001080149,1001080151,1001080150,군포,1,11003신창1,1001,1001080150,급행,0,1951,1001080176,신창,2025-05-21 20:57:29,[3]번째 전역 (안양),안양,99,0
7,7,7,1001,하행,신창행 - 당정방면,1001080149,1001080151,1001080150,군포,1,12006신창0,1001,1001080150,일반,0,0695,1001080176,신창,2025-05-21 20:58:44,[6]번째 전역 (금천구청),금천구청,99,0
1,7,7,1001,상행,광운대행 - 금정방면,1001080151,1001080149,1001080150,군포,1,01001광운대0,1001,1001080150,일반,0,0496,1001000119,광운대,2025-05-21 21:00:13,전역 도착,당정,5,0
2,7,7,1001,상행,청량리행 - 금정방면 (급행),1001080151,1001080149,1001080150,군포,1,01005청량리1,1001,1001080150,급행,0,1946,1001000124,청량리,2025-05-21 20:59:00,[5]번째 전역 (수원),수원,99,0
3,7,7,1001,상행,광운대행 - 금정방면,1001080151,1001080149,1001080150,군포,1,02003광운대0,1001,1001080150,일반,0,0694,1001000119,광운대,2025-05-21 21:00:13,[3]번째 전역 (성균관대),성균관대,99,0
4,7,7,1001,상행,청량리행 - 금정방면 (급행),1001080151,1001080149,1001080150,군포,1,02015청량리1,1001,1001080150,급행,0,1948,1001000124,청량리,2025-05-21 20:59:00,[15]번째 전역 (평택),평택,99,0
5,7,7,1001,하행,서동탄행 - 당정방면,1001080149,1001080151,1001080150,군포,1,11001서동탄0,1001,1001080150,일반,0,0495,1001801571,서동탄,2025-05-21 20:58:44,전역 도착,금정,5,0
6,7,7,1001,하행,신창행 - 당정방면 (급행),1001080149,1001080151,1001080150,군포,1,11003신창1,1001,1001080150,급행,0,1951,1001080176,신창,2025-05-21 20:57:29,[3]번째 전역 (안양),안양,99,0
7,7,7,1001,하행,신창행 - 당정방면,1001080149,1001080151,1001080150,군포,1,12006신창0,1001,1001080150,일반,0,0695,1001080176,신창,2025-05-21 20:58:44,[6]번째 전역 (금천구청),금천구청,99,0
1,7,7,1001,상행,광운대행 - 금정방면,1001080151,1001080149,1001080150,군포,1,01001광운대0,1001,1001080150,일반,0,0496,1001000119,광운대,2025-05-21 21:00:13,전역 도착,당정,5,0
2,7,7,1001,상행,청량리행 - 금정방면 (급행),1001080151,1001080149,1001080150,군포,1,01005청량리1,1001,1001080150,급행,0,1946,1001000124,청량리,2025-05-21 20:59:00,[5]번째 전역 (수원),수원,99,0
3,7,7,1001,상행,광운대행 - 금정방면,1001080151,1001080149,1001080150,군포,1,02003광운대0,1001,1001080150,일반,0,0694,1001000119,광운대,2025-05-21 21:00:13,[3]번째 전역 (성균관대),성균관대,99,0
4,7,7,1001,상행,청량리행 - 금정방면 (급행),1001080151,1001080149,1001080150,군포,1,02015청량리1,1001,1001080150,급행,0,1948,1001000124,청량리,2025-05-21 20:59:00,[15]번째 전역 (평택),평택,99,0
5,7,7,1001,하행,서동탄행 - 당정방면,1001080149,1001080151,1001080150,군포,1,11001서동탄0,1001,1001080150,일반,0,0495,1001801571,서동탄,2025-05-21 20:58:44,전역 도착,금정,5,0
